"Domain","CCO","CTH","EMA","EMU","PFO","SCA","ZRA","Method","Total"
"DUF3020",1,1,1,NA,1,1,1,"Pfam",6
"DUF3419",1,1,NA,NA,1,1,1,"Pfam",5
"DUF3437",1,NA,NA,NA,1,NA,NA,"Pfam",2
"DUF3472",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"DUF423",1,1,1,NA,1,1,1,"Pfam",6
"DUF4246",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"DUF4922",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"DUF5009",1,1,1,NA,NA,1,1,"Pfam",5
"DUF5077",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"DUF5098",1,NA,NA,NA,1,NA,NA,"Pfam",2
"DUF5110",1,1,NA,NA,NA,NA,1,"Pfam",3
"DUF5482",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"DUF5522",1,1,NA,NA,NA,NA,NA,"Pfam",2
"DUF561",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"DUF6539",1,1,NA,NA,NA,NA,NA,"Pfam",2
"DUF6721",1,1,1,NA,NA,NA,1,"Pfam",4
"DUF924",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"DUF974",1,1,1,NA,1,1,1,"Pfam",6
"Dala_Dala_lig_N",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Drc1-Sld2",1,1,1,NA,NA,1,1,"Pfam",5
"Dynactin_p22",1,NA,NA,NA,1,1,NA,"Pfam",3
"ELM2",1,NA,NA,NA,1,1,NA,"Pfam",3
"Eco57I",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"EnY2",1,1,NA,NA,NA,NA,NA,"Pfam",2
"End3",1,1,NA,NA,NA,NA,NA,"Pfam",2
"Etd1",1,NA,NA,NA,NA,NA,1,"Pfam",2
"Expansin_C",1,1,NA,NA,NA,NA,NA,"Pfam",2
"FANCI_HD1",1,1,NA,NA,NA,NA,NA,"Pfam",2
"FHA_2",1,NA,NA,NA,1,NA,NA,"Pfam",2
"FMO-like",1,NA,NA,NA,1,1,NA,"Pfam",3
"FTA4",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Far-17a_AIG1",1,NA,NA,NA,1,1,NA,"Pfam",3
"Fascin",1,NA,NA,NA,1,1,NA,"Pfam",3
"FeS_assembly_P",1,1,1,NA,1,1,1,"Pfam",6
"Fer4_4",1,NA,1,NA,1,1,1,"Pfam",5
"Fer4_NifH",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Flavi_DEAD",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Fmp27_GFWDK",1,NA,NA,NA,1,1,NA,"Pfam",3
"Fmp27_WPPW",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Fructosamin_kin",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"GAF_2",1,NA,NA,NA,1,1,NA,"Pfam",3
"GBP",1,NA,1,NA,1,1,NA,"Pfam",4
"GFA",1,1,NA,NA,NA,1,1,"Pfam",4
"GF_recep_IV",1,NA,NA,NA,1,1,NA,"Pfam",3
"GGACT",1,1,NA,NA,1,1,1,"Pfam",5
"GIY-YIG",1,1,1,NA,1,1,1,"Pfam",6
"GST_N_4",1,1,1,NA,1,1,1,"Pfam",6
"GT87",1,1,NA,NA,1,NA,NA,"Pfam",3
"Gamma_PGA_hydro",1,1,NA,NA,NA,NA,NA,"Pfam",2
"Gemin7",1,NA,NA,NA,1,NA,NA,"Pfam",2
"Globin",1,NA,NA,NA,1,1,NA,"Pfam",3
"Gly_transf_sug",1,1,NA,NA,1,NA,NA,"Pfam",3
"Glyco_hydro_25",1,1,NA,NA,NA,NA,NA,"Pfam",2
"Glycos_trans_3N",1,1,1,NA,1,1,1,"Pfam",6
"Glyoxalase_3",1,1,NA,NA,NA,NA,NA,"Pfam",2
"HHH_5",1,NA,1,NA,1,1,NA,"Pfam",4
"HSDR_N_2",1,1,NA,NA,NA,NA,NA,"Pfam",2
"HTH_11",1,NA,NA,NA,1,NA,NA,"Pfam",2
"HTH_24",1,NA,1,NA,1,NA,NA,"Pfam",3
"HTH_48",1,NA,NA,NA,1,NA,NA,"Pfam",2
"HTH_5",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"HTH_AsnC-type",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"HTH_Mga",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"HTH_Tnp_IS630",1,NA,NA,NA,1,NA,NA,"Pfam",2
"Haspin_kinase",1,NA,NA,NA,1,1,NA,"Pfam",3
"Hat1_N",1,NA,NA,NA,1,1,NA,"Pfam",3
"HeH",1,NA,1,NA,NA,NA,NA,"Pfam",2
"HpcH_HpaI",1,1,NA,NA,NA,NA,NA,"Pfam",2
"Indigoidine_A",1,1,NA,NA,1,1,NA,"Pfam",4
"JTB",1,NA,NA,NA,1,1,NA,"Pfam",3
"Jacalin",1,NA,NA,NA,1,NA,1,"Pfam",3
"Ku_N",1,NA,1,NA,1,1,NA,"Pfam",4
"LDcluster4",1,1,NA,NA,NA,1,1,"Pfam",4
"Leo1",1,NA,NA,NA,1,1,NA,"Pfam",3
"Lgl_C",1,1,NA,NA,1,1,NA,"Pfam",4
"Lustrin_cystein",1,NA,NA,NA,1,NA,NA,"Pfam",2
"Lycopene_cycl",1,1,NA,NA,NA,NA,NA,"Pfam",2
"Lysine_decarbox",1,1,NA,NA,1,1,1,"Pfam",5
"MBA1",1,1,1,NA,1,1,1,"Pfam",6
"MCD",1,1,1,NA,1,1,1,"Pfam",6
"MCD_N",1,1,1,NA,1,1,1,"Pfam",6
"MM_CoA_mutase",1,1,NA,NA,NA,NA,NA,"Pfam",2
"MRP-S34",1,1,1,NA,1,1,1,"Pfam",6
"Mannosyl_trans3",1,NA,NA,NA,NA,1,NA,"Pfam",2
"Med15_fungi",1,NA,1,NA,1,1,1,"Pfam",5
"Med8",1,NA,NA,NA,1,1,NA,"Pfam",3
"Methyltransf_34",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Methyltransf_9",1,1,NA,NA,1,1,NA,"Pfam",4
"Methyltransf_PK",1,1,1,NA,1,1,1,"Pfam",6
"Mis14",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"MoaF",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"MoaF_C",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Mrx7",1,NA,NA,NA,NA,1,NA,"Pfam",2
"Mtr2",1,NA,NA,NA,1,1,1,"Pfam",4
"Mucin-like",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"NADHdh",1,1,NA,NA,1,NA,NA,"Pfam",3
"NIPSNAP",1,1,1,NA,1,1,1,"Pfam",6
"NPC1_N",1,NA,NA,NA,1,1,NA,"Pfam",3
"NT-C2",1,NA,NA,NA,1,1,NA,"Pfam",3
"NUMOD3",1,1,NA,NA,1,NA,1,"Pfam",4
"Nitroreductase",1,NA,NA,NA,1,NA,NA,"Pfam",2
"Nro1",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Nup35_RRM_2",1,1,NA,NA,1,1,NA,"Pfam",4
"Nup88",1,1,NA,NA,1,1,NA,"Pfam",4
"O-FucT",1,NA,NA,NA,1,1,NA,"Pfam",3
"Oxidored_q3",1,NA,NA,NA,1,1,NA,"Pfam",3
"PA14",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"PAD_porph",1,1,NA,NA,NA,NA,NA,"Pfam",2
"PA_decarbox",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"PCC_BT",1,1,NA,NA,NA,NA,NA,"Pfam",2
"PDCD7",1,1,1,NA,1,1,1,"Pfam",6
"PIG-F",1,NA,NA,NA,1,1,NA,"Pfam",3
"PKD_channel",1,NA,1,NA,1,1,NA,"Pfam",4
"PP28",1,NA,NA,NA,1,NA,NA,"Pfam",2
"PUNUT",1,NA,NA,NA,NA,NA,1,"Pfam",2
"ParBc",1,1,NA,NA,1,1,1,"Pfam",5
"PduV-EutP",1,NA,NA,NA,1,1,NA,"Pfam",3
"Pirin",1,1,1,NA,1,1,1,"Pfam",6
"Pirin_C",1,1,1,NA,NA,NA,NA,"Pfam",3
"Propep_M14",1,1,NA,NA,1,1,1,"Pfam",5
"QLQ",1,1,NA,NA,1,1,1,"Pfam",5
"QueC",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"RAB3GAP2_N",1,NA,NA,NA,1,1,NA,"Pfam",3
"RAC_head",1,1,NA,NA,1,1,NA,"Pfam",4
"RAMP4",1,1,1,NA,NA,NA,NA,"Pfam",3
"RBB1NT",1,NA,NA,NA,1,1,NA,"Pfam",3
"RNA_ligase",1,NA,NA,NA,1,1,1,"Pfam",4
"RNA_pol_Rpb1_R",1,NA,NA,NA,1,NA,NA,"Pfam",2
"Rdx",1,NA,NA,NA,1,1,NA,"Pfam",3
"Rib_5-P_isom_A",1,1,NA,NA,1,1,NA,"Pfam",4
"Ribosomal_L28",1,1,1,NA,1,1,1,"Pfam",6
"Ribosomal_L33",1,NA,1,NA,NA,NA,1,"Pfam",3
"Ribosomal_S27",1,NA,1,NA,1,1,1,"Pfam",5
"RicinB_lectin_2",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Rieske_2",1,NA,NA,NA,NA,1,1,"Pfam",3
"RsgA_GTPase",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Rubrerythrin",1,NA,NA,NA,NA,1,NA,"Pfam",2
"Rxt3",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"S36_mt",1,NA,NA,NA,1,NA,NA,"Pfam",2
"SAE2",1,NA,NA,NA,1,NA,NA,"Pfam",2
"SBF",1,1,NA,NA,1,1,NA,"Pfam",4
"SCA7",1,1,1,NA,1,1,1,"Pfam",6
"SH2",1,1,NA,NA,1,1,NA,"Pfam",4
"SLAC1",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"SMN",1,1,NA,NA,1,1,1,"Pfam",5
"SPARC_Ca_bdg",1,1,1,NA,1,1,1,"Pfam",6
"SWI-SNF_Ssr4_C",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"SYMPK_PTA1_N",1,NA,1,NA,1,1,1,"Pfam",5
"Say1_Mug180",1,1,1,NA,1,1,NA,"Pfam",5
"Sec16",1,1,NA,NA,1,1,1,"Pfam",5
"Senescence_reg",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Ser_hydrolase",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Serpin",1,NA,NA,NA,1,1,NA,"Pfam",3
"Sgf11",1,1,NA,NA,NA,1,NA,"Pfam",3
"Sina",1,1,NA,NA,1,1,NA,"Pfam",4
"Spore_permease",1,1,1,NA,1,1,1,"Pfam",6
"Stc1",1,NA,1,NA,NA,NA,1,"Pfam",3
"Sulfatase",1,1,NA,NA,1,1,NA,"Pfam",4
"Swi3",1,NA,NA,NA,1,1,NA,"Pfam",3
"Swi5",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"TANGO2",1,1,1,NA,1,1,1,"Pfam",6
"TBP-binding",1,1,1,NA,1,1,NA,"Pfam",5
"TENA_THI-4",1,1,NA,NA,NA,NA,NA,"Pfam",2
"TFIIIC_delta",1,NA,NA,NA,1,NA,NA,"Pfam",2
"TMEM128",1,1,1,NA,1,1,1,"Pfam",6
"TMP-TENI",1,1,NA,NA,NA,NA,NA,"Pfam",2
"TP6A_N",1,1,NA,NA,NA,1,NA,"Pfam",3
"Taxilin",1,1,NA,NA,NA,1,NA,"Pfam",3
"Thi4",1,1,NA,NA,1,NA,NA,"Pfam",3
"Thiamine_BP",1,1,NA,NA,NA,NA,NA,"Pfam",2
"Thioredoxin_2",1,1,1,NA,1,1,NA,"Pfam",5
"Thioredoxin_7",1,1,NA,NA,1,1,NA,"Pfam",4
"ThrE_2",1,1,1,NA,1,1,1,"Pfam",6
"Tnp_zf-ribbon_2",1,NA,NA,NA,1,1,NA,"Pfam",3
"Tom7",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Topo_C_assoc",1,1,1,NA,1,1,1,"Pfam",6
"Toxin_30",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Trehalase_Ca-bi",1,1,1,NA,1,1,1,"Pfam",6
"U3snoRNP10",1,NA,NA,NA,1,1,1,"Pfam",4
"UBA_2",1,1,NA,NA,1,1,NA,"Pfam",4
"UDPG_MGDP_dh",1,NA,NA,NA,1,1,NA,"Pfam",3
"UDPG_MGDP_dh_C",1,NA,NA,NA,1,1,NA,"Pfam",3
"UDPG_MGDP_dh_N",1,NA,NA,NA,1,1,NA,"Pfam",3
"UN_NPL4",1,1,1,NA,1,1,1,"Pfam",6
"UPF0016",1,1,NA,NA,1,1,NA,"Pfam",4
"UPF0047",1,NA,NA,NA,1,1,NA,"Pfam",3
"USP7_ICP0_bdg",1,1,1,NA,1,1,1,"Pfam",6
"UVB_sens_prot",1,1,NA,NA,1,NA,NA,"Pfam",3
"VPS11_C",1,NA,NA,NA,1,NA,NA,"Pfam",2
"Vfa1",1,1,NA,NA,NA,NA,NA,"Pfam",2
"YABBY",1,NA,1,NA,NA,NA,1,"Pfam",3
"YlxR",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"fn3",1,NA,NA,NA,1,1,NA,"Pfam",3
"rRNA_processing",1,1,NA,NA,1,1,1,"Pfam",5
"tRNA_lig_CPD",1,1,1,NA,1,1,NA,"Pfam",5
"zf-CHC2",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"zf-H2C2_2",1,NA,NA,NA,1,1,NA,"Pfam",3
"zf-RING_4",1,1,1,NA,1,1,1,"Pfam",6
"zf-U11-48K",1,1,1,NA,1,1,1,"Pfam",6
"zinc_ribbon_9",1,NA,1,NA,1,1,1,"Pfam",5
"AAA_14",NA,1,NA,NA,1,1,1,"Pfam",4
"AAA_26",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"AI-2E_transport",NA,1,NA,NA,1,1,1,"Pfam",4
"AIG2_2",NA,1,1,NA,1,1,1,"Pfam",5
"ATG2_CAD",NA,1,1,NA,NA,NA,1,"Pfam",3
"Actin_micro",NA,1,NA,NA,NA,1,NA,"Pfam",2
"Adaptin_binding",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"BPL_C",NA,1,1,NA,NA,1,NA,"Pfam",3
"BRCA-2_helical",NA,1,NA,NA,1,NA,1,"Pfam",3
"Bac_DnaA",NA,1,NA,NA,NA,1,NA,"Pfam",2
"Bac_thur_toxin",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"CBP_BcsQ",NA,1,1,NA,1,1,1,"Pfam",5
"CDC27",NA,1,NA,NA,1,1,NA,"Pfam",3
"CENP-C_C",NA,1,1,NA,NA,1,NA,"Pfam",3
"COX14",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"COX2",NA,1,NA,NA,1,NA,NA,"Pfam",2
"COX3",NA,1,NA,NA,1,NA,NA,"Pfam",2
"Carb_anhydrase",NA,1,NA,NA,1,1,NA,"Pfam",3
"Cnl2_NKP2",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"Condensin2nSMC",NA,1,NA,NA,1,1,1,"Pfam",4
"Cupin_1",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"Cytochrom_B_C",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"DAGK_acc",NA,1,1,NA,1,1,NA,"Pfam",4
"DCAF15_WD40",NA,1,NA,NA,1,1,NA,"Pfam",3
"DUF1206",NA,1,1,NA,NA,NA,NA,"Pfam",2
"DUF2175",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"DUF4269",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"DUF5317",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"DUF5614",NA,1,1,NA,1,1,NA,"Pfam",4
"DUF5757",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"DUF5917",NA,1,NA,NA,1,NA,NA,"Pfam",2
"DUF818",NA,1,NA,NA,1,NA,NA,"Pfam",2
"DUF900",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"DUF952",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"DapB_N",NA,1,1,NA,NA,NA,NA,"Pfam",2
"DinB_2",NA,1,NA,NA,NA,NA,1,"Pfam",2
"GET2",NA,1,1,NA,NA,NA,NA,"Pfam",2
"GFO_IDH_MocA",NA,1,NA,NA,1,1,NA,"Pfam",3
"GFO_IDH_MocA_C",NA,1,NA,NA,1,1,NA,"Pfam",3
"Glyco_hydro_70",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"Glyco_trans_1_3",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"Glyco_trans_4_2",NA,1,1,NA,NA,NA,1,"Pfam",3
"HARE-HTH",NA,1,1,NA,1,1,NA,"Pfam",4
"HI0933_like",NA,1,NA,NA,1,NA,NA,"Pfam",2
"HK",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"HTH_23",NA,1,1,NA,1,1,1,"Pfam",5
"HTH_38",NA,1,1,NA,NA,1,NA,"Pfam",3
"HTH_7",NA,1,1,NA,NA,NA,NA,"Pfam",2
"Hemerythrin",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"Hom_end",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"IMS_HHH",NA,1,NA,NA,1,1,1,"Pfam",4
"INSIG",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"IPT",NA,1,1,NA,1,1,1,"Pfam",5
"LAGLIDADG_1",NA,1,NA,NA,1,NA,1,"Pfam",3
"LAGLIDADG_2",NA,1,NA,NA,1,NA,NA,"Pfam",2
"LEA_4",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"LacY_symp",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"MEKK4_N",NA,1,NA,NA,1,1,1,"Pfam",4
"MFS_5",NA,1,1,NA,1,1,1,"Pfam",5
"MRJP",NA,1,NA,NA,1,1,1,"Pfam",4
"Med12-LCEWAV",NA,1,NA,NA,1,NA,NA,"Pfam",2
"Metallophos_3",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"NB-ARC",NA,1,NA,NA,NA,NA,1,"Pfam",2
"NCE101",NA,1,1,NA,NA,NA,NA,"Pfam",2
"Ndufs5",NA,1,NA,NA,1,1,1,"Pfam",4
"Nucleoporin_FG",NA,1,NA,NA,1,1,1,"Pfam",4
"PARG_cat",NA,1,NA,NA,1,1,NA,"Pfam",3
"PAS_2",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"PCO_ADO",NA,1,NA,NA,1,1,NA,"Pfam",3
"PH_4",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"PH_6",NA,1,NA,NA,NA,NA,1,"Pfam",2
"PIG-P",NA,1,1,NA,1,1,1,"Pfam",5
"PLA2_B",NA,1,NA,NA,1,1,1,"Pfam",4
"PMI_typeI_C",NA,1,NA,NA,1,NA,NA,"Pfam",2
"PUCC",NA,1,NA,NA,1,1,NA,"Pfam",3
"Pep_M12B_propep",NA,1,NA,NA,1,1,NA,"Pfam",3
"Peptidase_C39_2",NA,1,1,NA,NA,NA,1,"Pfam",3
"Peptidase_C70",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"Proton_antipo_M",NA,1,NA,NA,1,1,NA,"Pfam",3
"Proton_antipo_N",NA,1,NA,NA,1,NA,NA,"Pfam",2
"RNF220",NA,1,NA,NA,1,1,NA,"Pfam",3
"RNase_H_2",NA,1,1,NA,NA,NA,NA,"Pfam",2
"RNase_P_pop3",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"RPEL",NA,1,NA,NA,1,1,1,"Pfam",4
"Ribosomal_L50",NA,1,NA,NA,1,1,NA,"Pfam",3
"Rpp20",NA,1,NA,NA,1,1,NA,"Pfam",3
"SET_assoc",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"SPP",NA,1,NA,NA,1,1,NA,"Pfam",3
"SWI2_SNF2",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"SbcC_Walker_B",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"Scramblase",NA,1,NA,NA,1,1,NA,"Pfam",3
"TH1",NA,1,1,NA,1,1,1,"Pfam",5
"TIP_N",NA,1,1,NA,1,1,NA,"Pfam",4
"TRAPPC10",NA,1,NA,NA,1,1,NA,"Pfam",3
"Thoc2",NA,1,1,NA,1,1,1,"Pfam",5
"TrkA_N",NA,1,NA,NA,1,NA,NA,"Pfam",2
"Vps36_ESCRT-II",NA,1,1,NA,1,1,1,"Pfam",5
"Yae1_N",NA,1,NA,NA,1,1,NA,"Pfam",3
"bPH_2",NA,1,1,NA,1,1,1,"Pfam",5
"vWA-TerF-like",NA,1,NA,NA,NA,NA,NA,"Pfam",1
"AAA_34",NA,NA,1,NA,1,1,1,"Pfam",4
"Asp_aminotransf",NA,NA,1,NA,1,1,NA,"Pfam",3
"BC10",NA,NA,1,NA,NA,NA,1,"Pfam",2
"CYSTM",NA,NA,1,NA,NA,NA,NA,"Pfam",1
"Cornifin",NA,NA,1,NA,1,NA,1,"Pfam",3
"DNA_pol_delta_4",NA,NA,1,NA,NA,1,NA,"Pfam",2
"DUF4084",NA,NA,1,NA,NA,NA,NA,"Pfam",1
"DUF4460",NA,NA,1,NA,1,1,NA,"Pfam",3
"DUF592",NA,NA,1,NA,1,NA,NA,"Pfam",2
"ELL",NA,NA,1,NA,1,1,1,"Pfam",4
"FAM104",NA,NA,1,NA,NA,NA,NA,"Pfam",1
"FUR",NA,NA,1,NA,NA,NA,NA,"Pfam",1
"Glyco_hydro_2_C",NA,NA,1,NA,1,1,1,"Pfam",4
"Glyco_hydro_53",NA,NA,1,NA,NA,NA,NA,"Pfam",1
"Homez",NA,NA,1,NA,NA,NA,NA,"Pfam",1
"INCENP_ARK-bind",NA,NA,1,NA,1,1,NA,"Pfam",3
"Med11",NA,NA,1,NA,1,1,NA,"Pfam",3
"NACHT",NA,NA,1,NA,NA,NA,NA,"Pfam",1
"NADH_B2",NA,NA,1,NA,NA,NA,NA,"Pfam",1
"Neurobeachin",NA,NA,1,NA,NA,1,NA,"Pfam",2
"PDZ",NA,NA,1,NA,1,1,NA,"Pfam",3
"PIG-Y",NA,NA,1,NA,NA,1,1,"Pfam",3
"Pentapeptide_2",NA,NA,1,NA,NA,NA,NA,"Pfam",1
"Plk4_PB1",NA,NA,1,NA,1,NA,1,"Pfam",3
"Plk4_PB2",NA,NA,1,NA,1,1,1,"Pfam",4
"RNA_pol_I_TF",NA,NA,1,NA,NA,NA,NA,"Pfam",1
"Recep_L_domain",NA,NA,1,NA,1,1,NA,"Pfam",3
"Ribonuclease_P",NA,NA,1,NA,NA,NA,NA,"Pfam",1
"SRP_TPR_like",NA,NA,1,NA,1,1,NA,"Pfam",3
"Sec39",NA,NA,1,NA,1,1,1,"Pfam",4
"Spc24",NA,NA,1,NA,1,1,NA,"Pfam",3
"StbA",NA,NA,1,NA,NA,NA,NA,"Pfam",1
"Stn1",NA,NA,1,NA,NA,NA,1,"Pfam",2
