DOMAIN	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_B9252	Basidiobolus_meristosporus_CBS_931	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus_ARSEF_2731	Conidiobolus_firmipilleus_ARSEF_6384	Conidiobolus_heterosporus_ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_lamprauges_ARSEF_2338	Conidiobolus_megalotocus_ARSEF_8428	Conidiobolus_osmodes_ARSEF_79	Conidiobolus_pumilus_ARSEF_6383	Conidiobolus_rhysosporus_ARSEF_448	Conidiobolus_thromboides_ARSEF_4968	Conidiobolus_thromboides_FSU_785	Entomophthora_muscae_Berkeley_v1	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
AAA_5	20	44	39	22	26	21	36	45	32	21	18	12	32	22	24	30	22	50	35	22
I-set	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	52	0
Metallophos	22	45	46	23	27	28	35	43	31	31	17	12	36	26	28	57	36	47	49	53
KH_1	14	18	16	8	9	7	14	16	10	7	10	8	17	8	7	16	10	37	30	10
Abhydrolase_1	15	28	39	28	27	33	34	43	34	32	19	20	37	22	27	57	36	51	49	35
EF-hand_7	20	37	29	13	15	20	24	28	21	18	16	12	26	18	19	17	15	51	49	15
EF-hand_1	13	30	24	11	12	15	23	18	14	14	14	10	22	15	17	11	9	47	32	13
TPR_8	16	32	32	17	14	19	23	38	22	18	10	9	23	15	10	15	10	60	38	15
UDPGT	1	2	9	41	46	39	34	44	37	50	28	8	35	21	28	56	40	30	35	53
DnaJ	32	47	43	20	20	22	28	46	31	21	17	16	38	19	24	32	24	66	57	27
Myb_DNA-binding	18	26	42	12	10	14	18	20	17	15	11	9	18	11	10	28	23	27	23	15
Thioredoxin	15	27	26	18	21	20	30	33	33	21	18	11	23	14	18	25	18	47	46	27
Fungal_trans	11	27	38	51	21	36	22	67	23	45	21	32	66	12	25	29	23	23	21	31
Methyltransf_25	27	53	68	25	20	28	32	46	30	29	17	11	27	22	24	26	23	49	37	23
zf-CCHC	9	12	9	7	8	7	13	20	13	9	7	80	16	7	5	13	17	31	27	8
Methyltransf_11	25	56	62	22	21	26	32	49	32	29	17	13	30	20	22	27	20	45	36	24
Aminotran_1_2	31	45	42	22	26	33	31	55	40	28	18	22	37	20	21	22	18	44	33	17
Aa_trans	32	35	48	18	20	18	23	40	26	23	18	9	23	13	13	35	29	74	44	31
RVT_1	0	0	0	0	14	30	5	10	0	32	1	47	6	2	0	5	81	96	273	0
EF-hand_6	16	30	26	13	16	16	24	28	20	15	14	12	22	13	15	13	11	51	38	12
PUF	6	11	9	5	7	5	9	13	10	5	5	3	7	5	5	4	5	12	10	8
zf-RING_2	15	20	48	18	13	25	27	42	28	18	18	12	24	16	26	35	28	68	64	26
zf-met	11	19	49	30	17	13	15	28	20	10	4	5	18	10	19	17	10	68	102	23
7tm_1	0	3	6	78	25	17	16	27	6	18	10	7	28	7	33	81	41	52	40	66
Glyco_hydro_18	18	11	38	19	22	22	35	46	25	25	27	18	36	21	24	45	21	24	46	21
Chitin_synth_2	29	63	48	16	26	14	21	32	19	14	29	16	38	11	13	15	26	36	33	25
AhpC-TSA	17	24	28	15	19	14	45	24	49	12	19	15	35	26	30	61	33	26	28	20
Ig_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	44	0
ADH_zinc_N	24	48	57	31	27	28	32	28	28	45	17	7	13	20	25	22	13	28	20	17
ANAPC4_WD40	22	25	33	13	10	14	27	43	24	13	20	9	14	16	20	23	23	38	39	20
Gtr1_RagA	27	49	55	20	15	19	19	41	20	16	11	8	22	15	17	19	16	68	47	22
GTP_EFTU	25	33	30	19	18	21	30	42	32	19	20	13	29	20	22	19	19	49	41	23
Hydrolase_4	12	14	29	26	19	23	24	31	25	21	17	19	25	17	18	56	39	39	32	23
Arm	7	11	8	3	4	2	9	3	10	2	6	3	6	5	4	5	4	25	11	5
Myb_DNA-bind_6	13	23	37	11	7	11	13	16	13	11	7	6	13	7	8	22	17	19	17	12
GST_N_3	9	25	22	38	47	37	36	26	29	43	16	15	25	22	22	10	9	21	34	24
Kelch_4	5	6	11	18	14	14	13	22	20	17	14	8	17	7	12	19	12	28	26	15
Cation_ATPase	26	39	42	21	18	20	30	43	24	21	14	10	29	19	21	20	19	45	25	18
RCC1	3	8	7	5	6	8	7	8	10	6	6	2	6	5	4	8	7	29	17	8
Cyclin_N	29	55	98	13	11	14	10	30	14	11	9	5	17	8	15	24	18	38	38	28
zf-C3HC4_2	13	17	39	19	13	19	25	35	24	19	18	9	15	14	24	30	24	62	41	21
Cation_ATPase_N	13	44	49	27	27	23	27	54	22	23	11	3	24	17	17	21	15	23	19	16
ubiquitin	18	40	30	22	20	17	20	28	20	16	13	10	27	14	14	15	14	46	28	15
Peptidase_S9	14	26	32	17	26	27	24	42	22	31	19	13	24	14	18	39	22	36	16	9
NAD_binding_8	20	29	40	28	31	33	17	37	13	39	11	14	45	9	10	10	10	31	24	19
GST_C	7	25	22	28	29	36	33	32	27	44	15	11	24	20	24	10	8	27	33	13
Methyltransf_31	20	44	55	20	16	23	21	38	14	24	14	9	18	14	17	15	14	34	30	21
Peptidase_M28	15	15	21	32	30	33	36	55	27	40	14	11	29	20	19	14	7	14	17	11
CAP	12	27	36	22	22	25	31	41	18	24	13	11	25	21	23	27	15	12	23	25
Abhydrolase_3	3	13	16	36	47	44	20	45	8	47	7	5	7	18	16	2	4	28	22	4
Abhydrolase_6	10	17	35	22	18	22	22	27	20	21	13	18	25	16	16	50	30	28	26	23
SNF2_N	13	20	32	14	14	16	29	22	31	15	17	16	30	14	15	22	16	48	33	19
GATA	15	30	48	19	19	18	14	34	16	17	7	5	23	8	8	15	11	23	13	14
Ion_trans	5	12	18	14	16	15	6	23	8	14	5	4	6	3	7	21	17	71	37	7
CBS	11	26	25	10	10	10	14	19	15	9	11	5	19	9	10	13	11	20	16	12
Acetyltransf_1	20	39	52	26	21	24	21	25	20	19	9	10	18	14	16	15	15	36	28	22
Kinesin	19	25	26	15	16	12	23	18	32	13	20	15	27	12	14	16	15	59	37	17
Pyr_redox_2	28	45	52	21	24	14	23	31	25	16	13	9	19	14	15	18	11	26	25	13
RuvB_N	15	28	28	17	18	20	20	33	18	20	11	7	21	14	15	23	16	34	35	16
Cyt-b5	27	38	40	13	11	14	26	31	20	14	16	9	26	17	16	27	15	31	31	23
Aldo_ket_red	15	22	20	28	35	13	34	25	33	15	20	12	24	18	24	27	13	18	22	20
PPR_1	30	47	37	1	2	1	2	2	2	2	1	0	0	0	2	1	2	3	4	1
Inhibitor_I9	3	4	38	27	33	24	37	3	30	35	18	12	28	21	19	62	19	7	5	16
Kelch_1	4	6	10	16	14	8	14	18	27	9	9	7	25	8	11	19	12	22	25	17
LIM	4	7	7	3	2	4	6	7	8	4	3	3	7	4	4	3	7	93	27	11
RabGAP-TBC	12	23	33	14	17	14	19	26	18	14	11	11	28	11	14	19	17	62	34	16
UQ_con	20	24	31	15	13	17	17	30	18	16	14	11	26	11	16	26	18	45	41	17
MatE	2	6	6	22	22	13	18	22	29	15	13	7	16	10	11	8	6	10	9	7
3Beta_HSD	18	30	33	11	8	14	31	17	37	14	14	9	21	19	21	21	14	30	32	28
ADH_N	20	35	47	33	26	25	25	20	19	31	13	6	12	14	16	16	9	24	14	11
HATPase_c	23	35	48	12	13	24	26	26	20	12	13	10	20	15	14	13	15	25	23	15
GST_C_3	12	30	25	26	26	26	23	25	21	37	11	10	22	15	15	10	8	26	32	14
TPR_16	15	25	25	9	9	14	10	17	15	10	5	2	14	8	6	9	10	34	27	12
GST_N	7	29	24	23	30	27	20	23	25	32	14	12	22	16	15	10	8	24	33	12
Glyco_tranf_2_3	23	51	47	11	10	16	22	29	17	14	16	15	28	13	14	13	9	17	20	21
F-box	6	14	41	11	8	38	14	27	11	36	6	4	17	10	22	37	22	35	34	12
RhoGEF	13	31	27	13	11	12	16	25	24	12	14	11	27	11	15	14	13	53	31	14
PX	19	27	42	14	9	14	16	31	20	14	8	8	24	11	13	16	16	51	32	18
UCH	21	26	26	17	17	11	17	27	23	13	18	9	21	11	12	16	12	59	31	12
PPR_long	32	47	37	3	2	3	2	5	3	3	2	1	2	0	4	4	4	2	6	5
Peptidase_M20	8	10	11	27	30	25	31	47	24	34	16	10	35	18	18	10	8	15	14	7
zf-CCCH	15	22	27	9	9	8	14	20	15	8	6	4	13	10	13	18	12	28	22	14
zf-RING_UBOX	9	12	29	16	12	16	18	31	14	15	15	2	13	9	15	31	22	50	38	13
Peptidase_M16_C	9	13	12	5	6	5	9	10	9	5	10	5	10	7	7	68	40	15	15	50
Methyltransf_23	18	43	52	15	12	19	20	33	12	20	9	7	16	12	16	16	12	22	26	13
Prenyltrans	4	5	5	4	4	4	6	9	5	4	3	4	7	4	4	3	4	21	8	5
AAA_2	15	30	29	14	15	15	23	32	15	15	11	7	20	14	15	22	15	32	25	17
PTR2	16	23	38	8	7	8	21	18	26	9	18	10	23	12	13	41	28	10	10	22
NAD_binding_4	7	15	16	17	17	17	22	34	20	18	12	7	20	14	14	34	22	30	31	18
Glyco_tran_28_C	0	1	3	29	32	18	25	17	32	24	14	6	22	14	14	41	28	20	19	28
TRI12	7	16	32	18	23	14	33	31	25	28	13	9	25	19	23	10	8	14	9	27
Proteasome	18	16	18	14	16	14	21	28	19	16	17	14	28	13	14	21	14	30	33	14
zf-C3HC4_3	11	18	37	10	7	10	21	16	20	9	11	8	11	9	14	25	19	67	41	13
Pro_isomerase	13	21	19	13	17	15	28	23	24	17	12	9	16	18	17	19	14	33	29	16
Glyco_trans_2_3	18	54	47	11	9	12	23	26	15	12	15	12	28	13	13	11	6	11	20	20
Peptidase_M14	3	10	7	29	37	26	18	38	17	34	12	12	21	9	11	19	14	14	31	7
HSP70	7	25	25	10	20	11	12	16	12	17	18	8	24	7	7	30	23	31	36	21
zf-C2H2_6	6	7	33	14	3	1	0	8	1	1	2	0	1	0	2	5	5	54	118	4
Cyclin	31	54	111	8	7	9	7	18	10	9	8	3	10	6	9	17	12	13	13	14
Ldl_recept_a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	16	0
HMG_box	20	41	39	6	6	8	14	16	19	7	11	6	18	9	13	14	10	37	17	10
bZIP_2	23	24	37	13	12	18	18	32	17	19	12	9	26	12	10	12	9	31	18	16
Bromodomain	8	12	13	8	6	8	14	15	15	8	10	8	14	9	10	12	11	47	22	12
RhoGAP	12	24	27	10	10	12	18	22	21	12	11	9	28	12	14	15	12	44	32	17
HSP20	7	15	7	14	13	20	19	53	16	19	9	5	12	11	13	23	9	7	17	16
CBFD_NFYB_HMF	17	21	27	12	9	13	15	27	17	11	12	9	19	11	11	37	18	33	24	21
fn3	0	0	0	1	1	1	0	2	0	1	0	0	2	0	0	0	0	92	26	0
ig	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	42	0
HLH	14	37	40	12	8	13	12	24	10	13	8	7	20	9	10	20	12	44	27	16
HSF_DNA-bind	5	16	19	19	14	16	19	30	14	11	13	7	15	10	13	50	22	12	17	31
PP-binding	23	29	30	13	14	12	9	27	8	16	5	2	11	6	6	11	5	12	8	6
F-box-like	9	19	48	21	10	37	11	23	8	33	4	1	8	7	12	18	13	28	31	11
bZIP_1	16	17	32	12	10	16	15	25	18	18	14	14	31	14	13	14	13	26	18	15
Myosin_head	13	23	15	12	15	10	13	25	17	11	15	11	20	7	7	11	11	62	30	10
Acyl-CoA_dh_M	10	19	24	14	14	21	26	28	20	19	9	6	23	15	15	14	11	24	24	15
Acyl-CoA_dh_1	11	20	24	15	13	23	26	30	15	18	9	9	20	14	13	13	10	24	24	15
Glyco_hydro_16	10	18	19	14	17	13	21	33	25	14	11	7	22	11	11	24	16	12	20	27
Acetyltransf_10	17	28	33	21	16	23	14	20	13	17	7	9	13	10	12	13	13	26	19	21
Microtub_bd	17	19	26	12	11	11	18	18	25	10	8	7	22	11	14	15	15	41	27	16
UCH_1	18	26	26	10	7	9	13	20	18	9	9	7	18	9	11	13	10	49	26	11
Cation_ATPase_C	17	32	31	14	16	15	21	33	20	15	7	5	20	12	13	14	11	19	13	11
CH	7	11	13	9	5	7	11	18	10	9	4	7	6	6	6	7	7	46	26	7
Cpn60_TCP1	19	21	15	9	17	11	20	24	19	10	20	13	25	10	10	12	16	28	19	12
AMP-binding_C	22	30	37	11	10	10	13	14	14	10	8	3	8	8	8	16	10	37	26	13
SRPRB	17	25	32	11	9	11	13	20	13	8	5	5	12	10	12	12	11	56	36	17
TPR_2	13	19	19	5	8	11	11	19	11	7	7	5	13	9	5	9	6	31	29	8
SET	12	17	19	13	11	12	13	28	14	10	9	8	19	6	11	22	18	36	39	10
PCI	15	19	20	14	12	13	16	27	11	14	11	6	22	11	12	13	13	31	30	14
Arrestin_C	32	72	85	12	6	10	3	19	4	8	3	2	7	3	4	2	2	16	23	9
Polysacc_deac_1	34	52	80	4	4	6	12	8	16	4	3	2	6	6	7	28	12	4	10	21
GMC_oxred_N	1	5	5	11	12	12	12	6	6	16	7	13	24	6	7	23	14	21	15	16
FeoB_N	10	18	19	12	11	12	18	22	20	11	12	10	18	12	14	16	12	33	25	13
Chromo	9	17	13	9	10	12	12	11	18	14	9	19	21	7	8	14	26	22	25	12
EamA	5	15	20	17	12	11	11	22	11	10	5	5	13	6	8	14	11	12	16	13
Aminotran_5	17	28	29	15	13	13	15	29	16	12	11	6	17	9	9	11	10	23	20	9
LSM	14	21	21	15	9	13	14	29	21	13	10	9	23	10	16	18	9	16	18	17
Aldedh	12	19	16	12	18	18	12	21	20	15	13	10	12	7	7	14	14	32	21	10
Peptidase_M16	7	10	12	5	5	6	10	9	8	5	8	7	9	6	7	81	38	15	16	50
GST_N_2	7	18	16	14	24	20	25	12	21	20	10	11	17	15	15	7	4	15	23	16
GTP_EFTU_D2	14	19	19	13	11	15	18	25	20	14	10	9	16	12	13	11	12	25	22	11
tRNA-synt_1	7	11	11	7	15	8	13	14	14	7	11	10	11	7	7	9	7	28	14	7
Histone	14	17	27	10	7	10	15	17	13	12	9	6	11	10	12	30	13	35	18	22
Sulfate_transp	13	19	18	14	19	13	14	27	12	13	8	10	18	9	10	11	9	28	22	9
PHD	8	12	17	10	9	8	10	20	10	8	6	6	11	6	7	16	10	51	32	13
PQ-loop	4	5	9	7	5	7	5	12	11	5	7	5	10	4	11	14	10	20	14	11
Arrestin_N	30	63	82	8	7	9	6	19	3	10	3	6	5	3	3	3	3	14	20	6
RCC1_2	2	8	7	4	5	5	6	5	8	4	5	1	4	5	4	6	5	26	12	6
HMG_box_2	16	31	36	6	5	6	10	13	13	5	9	5	12	7	9	10	7	34	16	5
Actin	10	15	13	8	12	9	15	20	14	9	14	6	13	8	9	10	10	31	23	10
Response_reg	24	30	38	8	6	21	15	16	18	8	6	3	14	8	9	12	10	11	10	11
GST_C_2	2	12	13	19	15	23	23	15	24	35	10	7	12	15	13	8	6	14	17	9
Pyr_redox	19	31	38	14	14	10	17	22	12	10	9	6	12	10	10	9	8	16	15	9
Cu-oxidase_2	5	9	7	1	1	2	27	2	20	0	8	6	24	15	16	16	7	6	6	24
FAD_binding_4	10	25	22	13	16	21	8	30	7	29	10	5	16	5	5	24	10	13	5	16
AhpC-TSA_2	0	1	1	3	3	3	31	5	38	4	11	12	24	18	18	59	34	7	9	8
Fasciclin	18	35	30	3	3	4	4	6	4	3	2	2	1	2	2	2	2	5	4	3
Gti1_Pac2	6	11	14	5	4	7	16	8	22	8	16	7	21	15	23	20	13	4	6	35
Acetyltransf_7	12	23	26	20	14	17	13	18	11	13	5	7	11	9	9	11	11	19	16	19
RasGEF	15	28	25	12	10	13	8	26	11	13	5	4	15	5	8	14	11	28	19	8
FAD_binding_2	15	16	24	17	17	13	18	16	14	15	11	6	20	10	10	10	7	16	16	10
NAD_binding_10	12	29	38	6	6	9	16	9	21	6	14	5	11	10	10	13	9	13	21	23
Kelch_3	6	7	10	7	6	7	11	13	12	7	6	8	14	6	5	10	7	19	22	15
LRR_4	9	7	14	5	5	7	6	16	8	7	4	6	10	3	5	8	6	38	26	9
SAM_2	7	10	14	9	6	6	10	15	11	5	6	5	12	8	7	13	10	56	24	10
CsbD	1	0	51	5	7	6	15	17	9	7	7	1	19	8	8	5	5	4	4	4
Rad60-SLD	11	33	16	14	14	11	10	18	14	11	7	5	11	5	7	4	7	23	11	9
Methyltransf_12	12	34	43	11	8	14	8	24	10	15	4	6	12	6	8	9	8	15	12	11
AA_permease	24	29	36	14	20	9	7	13	9	11	6	5	7	4	4	7	5	36	14	5
Spectrin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	10	0
HEAT	18	21	20	6	8	8	11	13	17	9	10	6	12	8	8	9	7	23	15	7
Amidase	4	6	4	9	17	9	18	18	9	10	6	6	6	10	11	34	18	13	25	28
Condensation	22	29	23	3	8	3	2	10	1	11	1	1	1	1	1	1	1	2	0	1
Trypsin_2	6	11	16	16	13	17	6	12	22	29	8	12	11	5	5	16	9	14	26	12
FAD_binding_3	8	17	21	14	14	8	11	15	15	5	10	5	20	5	7	8	8	13	11	22
PP2C	11	24	20	8	7	10	12	19	16	10	8	4	16	7	7	10	7	28	18	11
WW	7	12	15	5	3	4	8	10	8	5	6	3	7	5	5	4	6	36	19	4
SAM_1	7	10	13	9	8	7	8	15	8	6	5	5	10	6	7	12	9	58	26	8
Acyl-CoA_dh_N	7	12	14	12	11	17	17	24	14	17	7	5	17	10	10	9	10	18	18	13
AA_permease_2	23	31	39	14	20	9	7	13	9	11	5	5	7	4	4	7	4	31	11	4
Adaptin_N	12	16	12	9	11	9	13	20	15	14	13	12	14	9	8	12	8	20	17	8
Amidohydro_1	15	31	32	9	8	12	13	16	10	12	7	8	13	7	11	6	5	18	15	5
SPRY	9	14	24	0	2	2	19	4	20	2	9	5	12	11	20	16	11	33	16	7
ThiF	8	11	13	8	10	8	15	18	12	8	10	6	10	8	9	8	8	24	20	9
Clathrin	2	9	5	4	7	5	4	12	10	4	6	1	4	3	4	5	3	8	6	4
FHA	8	18	18	5	4	6	12	12	13	6	6	4	14	8	9	14	11	34	29	22
DAO	19	22	24	10	13	11	12	18	14	14	6	4	10	7	7	9	7	30	13	5
CPSase_L_D2	9	15	12	9	11	8	14	15	14	7	10	5	15	8	8	11	10	12	12	7
GDP_Man_Dehyd	15	24	21	10	9	14	14	19	15	10	10	5	15	9	8	9	6	14	14	11
Amino_oxidase	4	9	10	15	19	16	9	17	6	18	4	9	32	5	5	5	5	20	18	14
UBA	9	19	16	6	7	9	11	13	12	6	7	4	7	7	6	9	7	13	15	8
tRNA-synt_1g	5	9	11	7	10	8	13	17	13	8	8	10	13	8	9	11	10	15	16	9
TPR_1	9	19	18	5	5	8	9	14	10	8	3	3	7	8	4	3	3	22	20	6
Rhodanese	10	16	30	7	7	11	12	14	12	9	8	5	10	8	5	10	6	13	15	8
Oxidored_FMN	8	8	11	16	22	14	15	28	18	23	12	7	20	10	9	5	3	2	2	2
DUF3421	11	14	14	2	3	3	5	6	5	3	4	2	6	3	3	8	6	11	14	3
JmjC	4	6	11	12	11	10	12	14	10	9	8	6	11	7	8	24	16	35	16	10
OPT	6	8	8	10	14	8	18	9	20	9	16	8	18	11	13	14	8	12	6	9
Acyl-CoA_dh_2	7	14	15	10	9	14	18	22	11	14	6	4	17	10	10	7	7	19	16	11
ECH_1	9	13	15	6	10	9	17	14	17	9	11	7	14	10	11	7	6	23	22	9
RGS	28	40	63	5	6	5	6	13	2	6	6	3	9	4	4	4	4	18	9	4
PI3_PI4_kinase	6	11	10	7	9	10	11	17	11	10	8	7	13	8	9	11	8	27	20	8
Kunitz_BPTI	1	1	3	0	0	0	24	0	12	0	5	1	16	15	16	6	5	8	14	7
Zip	10	14	17	8	9	9	10	10	10	8	6	7	12	5	5	19	11	16	18	11
CRAL_TRIO	6	8	13	17	19	17	5	24	5	20	4	2	8	3	3	2	4	34	35	7
NUDIX	10	11	20	11	9	11	11	14	13	12	7	7	9	4	9	16	10	23	18	13
ADH_zinc_N_2	10	27	36	18	14	13	8	14	6	18	5	4	5	5	7	6	3	18	11	5
MIR	7	12	14	10	9	7	10	16	18	7	8	7	15	8	8	11	7	30	16	9
EF-hand_4	8	13	13	5	6	6	10	10	11	6	2	5	8	6	8	7	7	18	11	6
E1_DerP2_DerF2	1	4	4	7	6	10	10	16	11	13	6	5	19	7	7	34	20	10	21	22
Exo_endo_phos	8	23	22	6	4	10	5	15	7	8	5	4	7	4	5	17	9	30	30	13
Glyco_hydro_47	7	9	8	11	15	8	13	16	15	8	9	3	9	7	8	12	12	23	12	15
MreB_Mbl	2	20	23	10	6	9	13	7	10	13	6	5	14	8	8	18	9	13	19	16
NAD_binding_1	20	26	27	9	10	9	7	15	8	8	7	6	10	5	7	8	9	15	11	11
Kelch_5	5	5	9	4	8	5	9	12	8	5	5	6	13	5	6	4	3	13	13	8
PALP	9	11	14	9	11	11	14	18	20	11	10	7	17	9	8	6	8	12	11	9
PAS_9	5	12	34	5	4	7	7	9	7	5	6	2	8	4	4	5	5	19	8	5
SPX	6	11	11	4	4	4	9	9	8	4	9	4	14	4	6	9	7	9	7	7
Ion_trans_2	6	8	10	7	8	3	4	8	3	4	5	5	7	2	5	5	3	41	16	6
rve	0	0	0	0	13	23	1	9	4	27	1	0	7	1	0	0	40	23	76	0
DUF4203	7	4	9	25	21	16	3	32	11	14	1	4	8	2	3	23	10	4	7	19
cNMP_binding	6	11	9	5	6	5	7	10	8	5	3	5	11	5	5	6	5	28	16	6
HA2	10	11	10	7	7	7	7	11	14	7	10	7	14	7	6	13	10	32	23	10
G-patch	5	12	12	6	7	9	13	14	12	8	9	3	9	6	7	12	9	35	24	11
MCM	8	9	8	8	11	9	16	15	17	8	11	4	12	8	8	14	8	23	14	8
Ig_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	33	0
DAGAT	1	5	4	12	13	13	7	17	9	14	8	4	8	5	5	32	22	10	17	15
