DOMAIN	ACCESSION	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_CBS_931	Conidiobolus_antarcticus__ARSEF_6913	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus__ARSEF_2731	Conidiobolus_heterosporus__ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_incongruus__NRRL_3022	Conidiobolus_incongruus__NRRL_3023	Conidiobolus_lamprauges__ARSEF_2338	Conidiobolus_lamprauges__NRRL_1229	Conidiobolus_megalotocus__ARSEF_8428	Conidiobolus_megalotocus__NRRL_3011	Conidiobolus_osmodes__ARSEF_79	Conidiobolus_polytocus__NRRL_1231	Conidiobolus_pumilus__ARSEF_6383	Conidiobolus_rhysosporus__ARSEF_448	Conidiobolus_rhysosporus__NRRL_1225	Conidiobolus_sp___NRRL_29146	Conidiobolus_thromboides_FSU_785	Conidiobolus_thromboides__ARSEF_4968	Conidiobolus_thromboides__NRRL_1224	Entomophaga_maimaiga_ARSEF_7190	Entomophthora_muscae_UCB	Entomophthora_muscae_UCB_Trinity	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
ABC_tran	PF00005.29	56	150	54	48	50	81	93	66	65	78	72	59	64	33	47	41	72	82	62	57	50	75	65	216	74	43	126	107	57
Ank	PF00023.32	51	44	33	30	38	66	82	82	77	64	67	39	70	22	44	20	77	72	31	33	41	59	50	196	90	52	387	168	50
Ank_4	PF13637.8	39	37	29	23	28	59	81	83	72	69	72	33	73	18	41	16	63	58	31	23	34	48	44	226	89	47	399	170	42
MMR_HSR1	PF01926.25	41	99	42	42	32	79	86	69	70	65	76	35	65	28	45	23	69	73	35	46	49	75	53	224	83	49	133	101	52
Ras	PF00071.24	59	103	44	41	40	67	84	61	59	60	70	45	65	29	39	24	78	76	38	41	41	66	49	206	79	46	165	108	54
Arf	PF00025.23	61	123	39	43	39	66	91	64	61	55	73	48	69	20	43	15	76	75	33	45	43	62	47	194	60	47	142	100	51
adh_short	PF00106.27	32	65	40	75	73	52	88	42	42	57	57	68	101	31	54	23	58	56	101	30	29	47	46	178	76	38	113	104	43
Roc	PF08477.15	53	101	39	38	33	62	77	56	56	51	66	39	56	17	36	16	70	66	26	40	40	61	46	188	67	42	134	101	51
adh_short_C2	PF13561.8	26	55	34	65	70	46	82	38	38	47	49	59	91	24	48	20	51	52	91	26	26	41	40	152	65	28	94	89	39
Homeodomain	PF00046.31	15	45	29	27	23	79	47	21	22	57	85	24	48	22	25	28	69	69	34	49	43	74	75	258	53	56	74	46	79
ResIII	PF04851.17	34	57	39	36	20	66	59	47	43	67	63	33	43	32	31	21	54	59	30	43	44	66	61	198	73	41	84	69	40
PPR_3	PF13812.8	234	298	16	18	18	46	33	59	59	27	38	16	40	12	18	8	9	9	19	25	24	51	142	136	76	33	22	36	30
SH3_1	PF00018.30	41	67	38	33	29	59	60	62	65	64	66	31	66	26	37	20	55	58	34	33	34	58	35	130	62	33	145	74	35
C2	PF00168.32	42	84	40	39	35	53	55	41	38	57	49	28	72	31	34	24	60	59	54	34	33	58	42	166	54	39	126	59	35
Tyrosinase	PF00264.22	18	33	37	51	57	55	57	0	0	69	58	62	74	30	34	46	72	76	85	34	30	50	65	222	65	50	13	30	67
Ank_3	PF13606.8	29	24	22	22	28	45	68	54	49	58	52	30	57	13	33	14	50	47	25	22	26	35	37	168	74	37	257	116	36
EF-hand_5	PF13202.8	43	71	43	36	36	56	68	39	36	46	70	45	83	31	43	19	55	57	38	37	36	63	31	128	45	31	90	81	38
Myb_DNA-binding	PF00249.33	29	77	22	22	15	36	36	43	40	36	47	24	49	19	27	15	40	40	21	22	24	44	299	202	90	42	44	38	28
AMP-binding	PF00501.30	62	137	26	50	50	47	93	33	35	34	46	48	70	26	33	23	35	38	67	22	24	36	22	132	48	29	74	53	40
zf-CCHC	PF00098.25	27	14	22	18	17	40	40	37	34	36	38	18	15	17	17	212	37	45	30	11	24	33	24	380	75	33	59	52	11
Peptidase_S8	PF00082.24	15	73	29	46	31	36	12	19	22	32	37	28	50	15	19	22	46	50	52	31	36	42	77	306	84	54	29	30	39
ABC_membrane	PF00664.25	17	63	33	33	41	56	68	34	32	55	44	54	47	25	26	26	57	58	46	34	34	57	44	134	59	25	65	51	40
zf-C3HC4	PF00097.27	16	54	39	26	17	52	50	30	34	59	66	30	47	30	27	8	41	37	24	31	33	50	42	174	74	43	95	80	40
LRR_8	PF13855.8	31	60	28	20	15	32	45	30	21	31	33	24	30	21	20	9	40	39	18	18	18	26	30	146	36	26	287	145	38
PH	PF00169.31	22	72	29	21	17	48	50	45	39	44	50	23	42	15	22	24	59	59	20	28	29	46	31	136	54	30	143	70	43
Myb_DNA-bind_6	PF13921.8	20	68	16	20	12	31	30	34	32	28	29	22	39	16	23	9	23	23	18	17	19	36	267	192	86	37	26	30	20
Epimerase	PF01370.23	27	58	28	27	23	61	60	24	18	37	41	30	38	18	26	20	32	34	39	34	35	55	32	194	59	28	45	51	43
SH3_2	PF07653.19	31	49	31	27	26	46	48	43	50	51	52	26	49	23	28	17	47	48	28	27	26	48	25	94	43	22	129	56	25
SH3_9	PF14604.8	33	52	27	28	24	42	49	48	49	49	50	26	52	20	29	14	46	48	29	26	24	42	27	104	40	28	119	58	25
Abhydrolase_1	PF00561.22	15	39	24	28	24	50	44	21	21	40	46	28	30	20	16	20	42	42	19	27	31	57	34	210	103	37	52	48	37
KR	PF08659.12	23	58	31	46	40	36	66	30	31	39	37	41	58	14	32	12	29	28	59	19	21	30	27	94	44	23	79	80	37
PUF	PF00806.21	34	66	29	23	13	51	54	59	60	41	53	23	41	22	23	12	42	42	16	26	28	48	27	134	40	26	49	32	41
EF-hand_8	PF13833.8	33	52	32	31	32	48	53	34	32	40	58	31	65	25	35	15	44	46	31	32	33	53	20	68	24	18	67	65	31
PPR	PF01535.22	240	283	17	8	7	33	19	48	46	10	15	10	17	12	7	4	3	3	7	16	18	28	93	76	49	19	15	14	22
AAA_5	PF07728.16	27	46	28	31	26	54	51	37	38	46	42	29	40	17	31	20	40	43	26	31	31	42	31	148	35	23	53	38	29
Metallophos	PF00149.30	22	45	21	22	22	47	43	31	31	34	38	31	45	15	23	15	37	36	32	29	28	43	39	150	49	36	47	48	53
Ank_5	PF13857.8	31	18	16	14	18	32	50	35	35	32	33	25	45	11	24	14	39	35	16	16	18	26	19	104	45	21	216	95	22
Fungal_trans	PF04082.20	11	38	33	51	28	46	67	35	32	34	43	23	54	23	30	37	76	76	27	25	27	38	24	80	44	23	23	21	31
Hydrolase	PF00702.28	40	80	20	34	23	37	74	37	37	33	25	33	42	17	30	16	31	31	34	23	23	27	34	118	40	28	58	44	30
E1-E2_ATPase	PF00122.22	35	74	21	34	26	41	76	31	31	37	30	33	34	17	26	12	36	39	32	25	25	36	31	116	43	29	50	37	26
DUF4817	PF16087.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1071	0	0	0	0	0	0	0	0	0	0	3	7	0
EF-hand_7	PF13499.8	29	49	26	23	22	40	43	28	25	35	50	28	57	18	29	15	42	43	26	28	28	45	23	84	31	21	70	69	23
PPR_2	PF13041.8	232	285	11	8	8	20	23	40	40	5	12	7	16	7	11	2	1	2	8	9	10	22	80	84	40	18	11	15	22
UDPGT	PF00201.20	1	9	28	41	39	39	44	9	8	37	36	22	38	22	23	11	36	36	40	28	24	38	33	180	37	40	30	35	53
Methyltransf_11	PF08241.14	26	65	22	24	19	37	49	53	55	38	36	30	41	18	22	14	34	33	24	23	23	34	24	96	45	21	49	36	25
zf-RING_2	PF13639.8	15	49	30	18	15	41	42	32	36	37	46	25	34	25	20	9	36	34	15	27	27	40	30	106	38	28	68	64	26
Methyltransf_25	PF13649.8	28	67	23	25	19	32	45	56	56	35	41	29	41	17	26	12	32	29	25	23	23	36	23	94	44	22	48	35	22
DnaJ	PF00226.33	32	43	23	20	18	33	46	36	33	38	42	22	38	19	20	17	43	42	24	23	21	33	26	86	37	24	66	57	27
Thioredoxin	PF00085.22	18	32	23	25	21	42	44	22	22	46	43	28	40	18	21	12	31	29	40	22	21	37	28	116	39	24	59	56	29
EF-hand_1	PF00036.34	30	49	25	20	21	39	42	26	25	29	40	27	53	20	25	17	35	37	20	24	24	40	20	80	26	19	71	60	26
Hydrolase_4	PF12146.10	13	29	22	26	17	32	33	18	16	27	37	23	26	13	15	17	30	29	19	20	22	39	26	196	83	41	41	32	23
AAA_lid_3	PF17862.3	29	40	23	22	20	34	47	25	26	37	40	22	33	15	21	11	32	33	24	21	22	37	28	120	35	26	51	50	27
KH_1	PF00013.31	35	42	22	23	10	31	44	23	26	33	28	20	42	17	23	10	32	39	16	19	21	31	23	86	34	22	93	63	23
TPR_8	PF13181.8	31	47	21	25	19	32	59	38	38	34	29	25	48	14	30	9	35	36	23	15	22	24	23	52	22	17	82	56	25
Aminotran_1_2	PF00155.23	31	42	17	22	25	33	55	24	25	42	34	29	46	15	25	25	39	37	24	21	20	35	21	90	37	18	44	33	17
ANAPC4_WD40	PF12894.9	20	35	21	15	10	36	52	26	29	27	34	20	24	18	20	9	26	26	20	25	24	41	28	124	49	25	47	48	22
7tm_1	PF00001.23	0	1	22	48	12	29	14	0	0	26	42	18	27	20	10	11	33	32	18	26	17	35	44	202	39	34	46	42	51
Aa_trans	PF01490.20	31	48	15	19	21	27	41	25	28	24	21	25	24	12	13	6	25	23	18	13	13	21	38	122	54	29	76	46	33
Kinase-like	PF14531.8	16	52	24	20	16	28	31	32	30	40	34	18	37	10	19	10	31	28	20	23	19	32	25	118	44	22	39	42	28
Glyco_hydro_18	PF00704.30	19	38	23	20	24	31	46	15	17	26	31	22	36	21	17	17	32	34	27	24	23	37	35	114	46	21	24	46	21
AhpC-TSA	PF00578.23	18	28	19	15	17	48	21	12	11	53	37	12	30	18	12	14	37	38	18	27	31	38	48	148	27	29	26	27	18
EF-hand_6	PF13405.8	25	33	20	21	21	38	42	16	15	34	45	24	48	15	23	12	36	37	23	23	23	38	19	72	23	16	58	56	18
zf-C3HC4_2	PF13923.8	13	39	21	19	15	36	40	20	23	43	38	19	30	18	21	4	23	19	17	27	25	38	23	96	44	24	57	42	21
Kelch_4	PF13418.8	11	28	19	24	24	38	41	26	27	29	31	27	40	15	19	15	32	31	35	19	20	32	20	72	34	22	46	41	29
Abhydrolase_6	PF12697.9	10	36	18	22	15	30	28	13	12	22	28	20	18	10	11	15	28	28	13	17	19	31	25	176	82	31	31	30	25
GTP_EFTU	PF00009.29	25	30	20	19	16	30	43	23	24	32	33	21	31	19	23	11	30	33	18	22	22	34	23	80	24	19	48	40	22
Arm	PF00514.25	30	32	16	14	11	31	20	32	32	38	33	13	20	16	13	11	32	35	6	18	19	28	18	110	28	17	72	50	18
zf-C2H2_4	PF13894.8	20	155	5	35	17	12	22	7	4	4	5	6	32	4	13	4	18	18	17	20	6	8	10	42	18	6	92	183	22
Ion_trans	PF00520.33	6	31	11	21	22	15	39	11	13	25	20	25	50	8	24	5	19	18	33	10	9	14	26	124	41	26	84	47	13
RCC1	PF00415.20	5	22	16	17	14	23	27	18	20	24	19	20	26	13	17	9	20	20	20	11	11	13	28	106	48	18	112	63	28
Prenyltrans	PF00432.23	11	20	16	16	10	30	31	16	16	22	19	15	27	12	16	8	21	22	20	17	17	26	15	186	34	16	71	31	21
RVT_1	PF00078.29	0	0	0	0	0	2	10	0	1	2	0	1	1	4	1	54	0	0	2	0	1	1	0	58	200	80	95	268	0
Chitin_synth_2	PF03142.17	37	51	20	17	26	23	32	28	28	21	23	14	28	12	18	15	31	32	17	13	13	26	18	80	25	26	36	33	25
Peptidase_S9	PF00326.23	15	36	23	17	23	29	42	16	13	24	38	16	21	15	12	21	25	26	7	18	18	30	11	132	54	22	37	17	10
Cation_ATPase	PF13246.8	26	43	17	21	18	31	42	21	21	25	21	20	28	13	21	14	25	28	19	21	21	28	23	80	23	19	45	24	18
Peptidase_M16_C	PF05193.23	9	15	10	6	4	15	12	13	13	13	13	5	9	7	7	11	13	13	5	9	10	16	38	240	87	46	19	19	78
Gtr1_RagA	PF04670.14	27	51	17	20	14	26	40	22	23	25	25	17	27	9	20	8	30	28	14	17	18	27	17	70	26	15	60	43	17
Cyclin_N	PF00134.25	31	102	14	13	11	22	29	22	21	18	29	13	26	10	16	7	22	21	15	15	13	22	22	88	33	18	37	35	28
zf-met	PF12874.9	10	39	15	37	21	25	28	15	11	22	28	14	37	12	19	8	21	21	20	22	14	21	11	54	24	11	66	96	24
SNF2-rel_dom	PF00176.25	15	33	16	14	12	30	24	25	26	33	27	16	23	16	16	16	30	31	19	15	16	28	25	92	26	16	48	33	19
CAP	PF00188.28	12	36	16	22	21	36	41	4	4	18	23	26	49	10	20	12	27	27	50	23	23	36	15	86	26	15	13	24	25
GST_N_3	PF13417.8	9	20	17	35	38	41	24	12	13	26	24	37	46	12	26	9	26	25	61	20	25	45	10	36	14	9	22	34	24
Acetyltransf_1	PF00583.27	20	52	16	26	23	26	25	32	32	23	24	20	37	10	18	9	20	20	34	16	17	20	15	66	36	15	36	28	22
CBS	PF00571.30	22	47	21	16	16	30	28	34	32	24	33	13	18	17	18	9	28	27	11	18	18	30	19	80	35	17	29	26	22
Methyltransf_31	PF13847.8	21	54	15	20	14	25	33	41	42	20	28	25	34	12	19	6	22	21	21	18	18	26	16	60	24	14	36	28	21
ABC1	PF03109.18	24	46	14	19	15	27	29	25	27	29	34	14	25	9	15	8	30	27	15	21	18	31	15	66	32	14	50	32	23
Kinesin	PF00225.25	22	27	14	16	17	26	18	30	29	34	26	13	25	16	12	12	25	28	18	14	14	22	17	88	38	15	59	37	17
Aldo_ket_red	PF00248.23	15	20	18	29	25	36	25	17	20	34	47	4	16	17	12	13	23	23	34	23	22	39	13	80	44	13	18	22	20
MatE	PF01554.20	4	12	20	36	33	29	41	6	8	62	33	24	49	15	17	8	26	25	37	22	21	37	14	62	25	11	15	14	14
Cyt-b5	PF00173.30	25	39	17	13	11	28	31	31	32	21	31	14	24	11	14	12	26	30	11	16	17	27	17	96	24	15	31	31	23
Kelch_1	PF01344.27	8	20	10	19	19	25	24	20	21	30	21	12	29	10	14	11	40	40	18	13	13	26	25	66	31	16	53	60	23
RabGAP-TBC	PF00566.20	13	34	15	15	17	29	27	28	29	22	26	14	26	9	15	9	31	32	11	15	16	25	18	78	28	18	62	34	17
UQ_con	PF00179.28	21	31	17	15	10	26	30	22	22	20	31	18	31	11	16	5	27	28	17	16	16	27	17	84	30	18	45	41	17
zf-RING_UBOX	PF13445.8	9	32	20	16	12	27	37	17	21	24	28	20	25	17	17	3	23	22	13	17	18	25	21	90	31	21	48	38	13
GST_C	PF00043.27	7	22	18	28	27	41	32	8	9	26	30	44	34	14	16	11	27	28	45	24	24	44	11	32	13	8	27	33	13
I-set	PF07679.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	538	157	0
F-box	PF00646.35	5	36	11	12	9	28	27	34	39	27	16	29	19	5	9	6	38	38	13	18	14	25	31	86	22	17	34	32	11
GATA	PF00320.29	19	61	9	22	20	20	42	37	31	20	20	22	44	5	22	5	31	30	18	11	12	20	14	54	20	14	29	16	18
RhoGEF	PF00621.22	12	27	15	14	13	24	26	31	31	27	29	11	22	11	16	12	30	28	11	15	15	19	14	80	31	14	55	32	14
Pyr_redox_2	PF07992.16	27	51	12	20	21	23	33	24	26	28	27	15	40	9	21	10	19	19	24	15	14	19	12	62	23	11	26	27	12
Peptidase_M28	PF04389.19	15	21	15	32	23	27	55	10	10	27	31	33	44	9	22	19	28	28	30	19	21	35	17	36	9	8	14	18	11
Chromo	PF00385.26	11	13	19	10	6	14	14	15	12	19	12	8	14	4	7	17	22	25	12	8	10	18	17	214	50	27	27	28	14
Cation_ATPase_N	PF00690.28	14	49	10	27	21	29	54	19	18	24	18	23	29	7	19	5	21	22	27	17	17	25	19	52	23	15	23	20	16
NAD_binding_8	PF13450.8	21	40	11	29	18	17	37	22	24	13	16	24	34	12	11	25	49	48	44	10	10	17	10	30	7	10	31	24	19
HSF_DNA-bind	PF00447.19	5	19	15	19	11	18	30	14	15	20	24	17	31	11	17	4	22	20	15	13	12	19	31	142	36	21	12	17	31
LIM	PF00412.24	6	16	7	6	3	16	16	22	23	18	21	9	13	3	7	3	19	17	5	10	10	19	15	60	22	15	184	66	25
Abhydrolase_3	PF07859.15	4	18	9	41	53	24	53	16	15	13	11	55	66	6	34	6	9	9	48	17	20	29	5	14	12	5	30	26	5
NAD_binding_4	PF07993.14	8	16	14	18	7	25	34	13	13	17	19	11	11	8	10	11	22	24	27	14	15	22	21	134	33	23	30	30	18
PX	PF00787.26	21	41	13	13	7	22	31	26	27	22	27	14	23	6	13	10	27	26	13	13	14	22	16	56	30	17	50	30	16
SET	PF00856.30	11	19	12	13	9	20	28	25	24	19	24	9	24	6	14	10	21	21	11	11	10	22	16	100	64	18	34	39	10
Inhibitor_I9	PF05922.18	3	36	16	27	19	18	3	5	4	16	17	17	33	12	10	5	23	25	35	19	21	27	26	144	35	19	7	6	16
UCH	PF00443.31	21	26	15	17	17	21	27	22	21	22	30	14	33	16	15	10	21	21	23	12	12	19	11	50	29	12	59	33	12
Methyltransf_23	PF13489.8	17	53	12	14	11	22	30	43	45	14	21	19	25	10	15	7	19	18	14	15	15	21	13	56	31	12	22	26	13
Glyco_tran_28_C	PF04101.18	0	3	15	29	27	24	17	6	3	31	24	12	21	12	9	6	25	27	26	14	15	22	21	120	22	28	20	19	29
PQ-loop	PF04193.16	6	17	17	13	6	25	22	19	20	25	26	10	20	12	11	10	25	22	9	21	18	32	22	86	29	18	31	24	22
HSP20	PF00011.23	7	7	10	15	16	24	82	8	9	19	29	29	53	8	19	6	13	15	37	15	13	24	14	78	13	9	7	17	16
RhoGAP	PF00620.29	12	27	12	10	9	22	22	36	32	22	23	12	21	7	12	9	28	27	10	14	13	19	14	64	29	12	44	32	17
AAA_2	PF07724.16	16	30	14	14	12	24	34	16	16	15	23	16	26	10	17	8	22	23	13	14	15	25	17	78	22	15	32	24	17
ubiquitin	PF00240.25	17	31	14	23	17	18	32	16	16	18	22	10	20	6	11	4	23	22	29	15	13	21	24	50	18	16	54	29	18
zf-CCCH	PF00642.26	20	42	12	12	12	24	26	15	17	23	25	13	18	6	12	8	18	18	13	18	15	24	17	58	36	19	34	26	19
Proteasome	PF00227.28	19	18	14	14	14	22	28	14	14	19	25	16	29	13	14	11	29	29	17	14	14	26	15	62	18	14	30	33	14
Peptidase_M20	PF01546.30	8	11	18	27	17	26	47	4	4	24	29	29	37	12	18	20	34	35	24	18	19	30	12	34	17	8	15	14	7
ADH_zinc_N	PF00107.28	24	56	12	31	26	10	27	24	25	17	10	15	12	10	10	6	10	11	33	25	21	15	10	56	18	13	26	20	17
HATPase_c	PF02518.28	23	58	13	11	10	22	26	19	19	22	25	12	18	8	13	8	20	20	12	13	13	19	11	62	38	13	25	23	14
TPR_16	PF13432.8	26	42	9	14	8	18	29	32	41	16	14	15	23	9	14	3	18	17	14	10	12	16	13	42	14	16	44	44	15
HLH	PF00010.28	14	40	11	12	8	18	24	31	38	14	21	13	25	8	13	9	22	22	13	10	11	17	12	58	23	12	44	27	16
Bromodomain	PF00439.27	9	23	14	9	8	20	16	26	26	28	24	9	17	9	8	9	21	21	6	15	15	22	14	60	23	16	69	33	15
bZIP_1	PF00170.23	16	32	14	12	10	16	25	31	29	18	24	17	26	11	14	11	32	32	14	13	14	19	13	42	19	13	26	18	15
Microtub_bd	PF16796.7	17	26	13	12	11	22	18	24	24	23	22	11	18	7	12	7	20	20	14	14	13	19	15	62	30	15	40	27	16
Pro_isomerase	PF00160.23	13	19	13	13	13	26	23	16	15	29	30	17	21	10	14	4	17	16	13	17	20	28	15	56	22	14	33	29	16
HSP70	PF00012.22	7	26	7	13	18	12	17	13	14	12	9	16	22	6	12	5	10	10	12	7	7	8	47	120	27	23	31	36	23
Peptidase_M16	PF00675.22	7	12	8	5	5	11	9	9	9	10	9	4	8	6	6	5	9	10	5	7	7	12	26	192	61	38	13	16	50
EamA	PF00892.22	4	27	14	27	16	14	34	8	8	15	17	15	46	7	18	6	22	22	32	10	9	21	14	66	30	13	15	17	18
GST_N	PF02798.22	7	24	17	23	23	24	23	7	8	23	24	25	31	13	14	6	22	21	34	15	17	31	11	32	13	8	24	33	12
F-box-like	PF12937.9	9	49	10	21	12	20	23	39	41	17	17	22	18	6	9	2	8	11	18	12	13	23	14	42	18	13	29	31	11
RuvB_N	PF05496.14	12	27	9	15	15	21	34	15	16	17	20	19	30	5	14	5	15	15	14	14	14	25	13	70	17	13	30	30	14
bZIP_2	PF07716.17	23	38	13	13	11	19	30	30	27	18	28	18	32	8	16	5	24	24	16	10	13	17	10	30	14	9	30	17	15
GST_C_3	PF14497.8	11	26	17	25	23	20	25	9	10	20	20	35	29	11	13	9	22	24	35	13	13	21	10	26	10	8	26	30	13
HMG_box	PF00505.21	24	44	18	7	6	24	18	24	22	26	29	9	14	14	10	4	19	20	9	15	14	21	16	58	8	12	40	18	10
PTR2	PF00854.23	16	40	12	9	8	8	18	4	5	16	9	10	19	9	9	5	14	15	12	14	13	11	25	126	43	30	14	12	25
LSM	PF01423.24	14	21	15	15	11	23	29	14	16	25	27	14	29	9	16	7	25	24	13	16	16	21	16	62	10	9	16	18	17
Acyl-CoA_dh_M	PF02770.21	10	24	12	14	13	23	28	18	19	20	18	21	29	8	16	6	24	24	14	15	15	23	11	54	14	11	24	24	15
Glyco_hydro_16	PF00722.23	10	19	12	14	14	19	33	8	8	24	20	13	27	9	15	9	21	23	16	11	11	19	21	70	24	16	12	20	27
CH	PF00307.33	12	20	12	13	9	18	27	20	20	20	17	13	27	8	15	3	17	15	11	10	10	17	14	52	15	12	66	38	14
zf-C3HC4_3	PF13920.8	9	34	13	9	8	18	15	14	15	22	20	10	15	10	8	2	13	14	6	12	11	17	13	72	21	15	67	44	14
AhpC-TSA_2	PF13911.8	0	1	13	3	3	31	5	0	0	39	21	3	5	11	2	12	26	26	1	18	20	21	47	148	25	34	7	9	8
Asp_protease_2	PF13650.8	0	0	1	0	3	2	7	7	1	2	6	2	6	1	0	49	9	9	5	0	1	2	3	374	16	18	3	5	2
Acyl-CoA_dh_1	PF00441.26	11	24	10	15	13	26	30	15	13	15	21	20	28	6	17	7	19	19	20	13	14	21	11	60	13	10	24	23	15
Ig_3	PF13927.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	115	0
GMC_oxred_N	PF00732.21	1	6	10	14	12	14	11	6	6	9	18	26	27	7	11	23	29	29	28	8	7	15	15	90	14	18	25	20	31
PCI	PF01399.29	15	20	14	14	12	18	27	16	16	16	24	10	23	9	14	10	23	23	8	12	12	20	13	54	17	13	31	30	14
TRI12	PF06609.15	7	32	17	18	17	34	31	10	12	26	18	15	23	10	11	7	21	22	24	23	20	24	8	28	10	8	14	9	27
gag-asp_proteas	PF13975.8	0	0	1	0	0	2	10	7	1	2	9	3	4	1	0	66	8	8	3	0	1	2	3	358	13	10	3	5	3
Glyco_tranf_2_3	PF13641.8	21	43	20	10	8	23	29	17	18	17	14	13	14	10	13	12	25	29	9	13	13	16	16	54	12	6	12	17	19
3Beta_HSD	PF01073.21	17	30	17	9	6	30	14	8	10	22	23	8	9	10	9	9	19	20	7	20	20	27	12	60	18	12	26	25	25
tRNA-synt_1	PF00133.24	11	15	11	10	15	24	24	12	12	20	20	11	25	14	13	8	15	15	15	11	13	20	11	54	44	11	37	20	11
FeoB_N	PF02421.20	10	19	14	12	10	24	22	13	13	19	23	10	16	11	11	8	21	21	12	14	14	20	12	56	32	11	33	25	13
Peptidase_M14	PF00246.26	4	7	9	30	24	15	38	0	0	18	16	24	36	5	19	19	20	19	38	11	9	10	13	46	18	14	15	32	7
Lipase_GDSL	PF00657.24	3	8	8	12	16	16	15	14	16	10	12	16	21	6	6	12	22	21	30	8	8	12	29	90	28	21	5	11	39
