DOMAIN	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_CBS_931	Basidiobolus_ranarum_AG-B5	Conidiobolus_antarcticus__ARSEF_6913	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus__ARSEF_2731	Conidiobolus_heterosporus__ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_incongruus__NRRL_3022	Conidiobolus_incongruus__NRRL_3023	Conidiobolus_lamprauges__ARSEF_2338	Conidiobolus_lamprauges__NRRL_1229	Conidiobolus_megalotocus__ARSEF_8428	Conidiobolus_megalotocus__NRRL_3011	Conidiobolus_osmodes__ARSEF_79	Conidiobolus_polytocus__NRRL_1231	Conidiobolus_pumilus__ARSEF_6383	Conidiobolus_rhysosporus__ARSEF_448	Conidiobolus_rhysosporus__NRRL_1225	Conidiobolus_sp___NRRL_29146	Conidiobolus_thromboides_FSU_785	Conidiobolus_thromboides__ARSEF_4968	Conidiobolus_thromboides__NRRL_1224	Entomophaga_maimaiga_ARSEF_7190	Entomophthora_muscae_UCB	Entomophthora_muscae_UCB_Trinity	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
GT48.hmm	3	4	4	4	1	1	6	3	3	3	4	6	2	3	2	2	2	6	6	4	3	3	6	6	12	2	2	5	4	11
CBM5.hmm	26	35	52	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM43.hmm	1	3	2	2	5	4	6	9	1	1	3	4	1	9	1	3	3	8	8	5	3	3	4	3	4	2	1	1	2	14
GT2_Glycos_transf_2.hmm	2	3	2	2	1	1	4	4	2	2	3	4	2	4	2	2	2	4	4	3	2	2	4	4	20	15	2	5	4	4
CBM21.hmm	4	7	5	4	1	1	4	3	4	5	3	6	1	2	3	1	2	4	4	1	3	3	6	4	8	2	2	9	4	6
GH132.hmm	0	0	0	5	3	4	9	4	0	0	6	10	4	4	4	3	3	7	7	2	5	5	7	6	4	0	1	2	2	5
GT20.hmm	5	8	6	2	2	2	3	3	5	6	4	3	2	3	2	2	1	4	4	2	2	2	3	4	8	2	2	6	4	7
GH5_12.hmm	1	1	1	2	2	2	1	7	2	2	2	3	3	4	2	2	2	4	4	3	1	1	2	8	22	8	3	2	2	8
GT8.hmm	1	3	3	2	2	1	3	5	3	4	4	3	2	4	2	2	1	1	1	1	2	2	4	4	8	5	2	7	5	6
GT57.hmm	0	2	2	3	2	1	2	4	2	2	4	2	2	5	2	3	2	3	3	1	3	3	5	6	12	2	2	4	4	4
GT2_Chitin_synth_1.hmm	5	9	7	1	1	1	2	2	6	5	2	1	1	2	1	1	2	3	3	1	1	1	1	4	10	2	2	3	3	8
GH15.hmm	0	5	7	1	2	2	2	4	5	5	2	2	2	2	1	2	2	4	4	2	1	1	2	4	4	1	2	7	3	4
GH74.hmm	0	6	5	1	4	1	3	12	2	2	2	5	2	2	0	3	1	2	2	3	2	2	2	1	10	1	2	2	0	4
AA2.hmm	1	4	2	2	2	3	3	4	3	3	4	4	2	3	1	2	1	3	3	0	2	2	4	4	6	2	2	1	3	2
GH16_2.hmm	8	9	11	1	1	1	2	2	0	0	4	1	1	2	1	1	2	3	3	1	1	1	1	2	6	1	1	2	2	6
GT69.hmm	1	2	1	1	2	1	0	3	0	0	2	0	5	1	1	1	2	1	1	3	0	0	0	6	8	6	2	4	5	16
GH24.hmm	1	6	4	1	0	0	1	0	0	0	4	2	0	0	1	0	4	7	7	0	1	1	2	8	8	2	2	1	1	6
GH16_3.hmm	0	0	0	2	2	2	3	5	0	0	8	4	2	4	2	3	2	2	2	1	2	2	2	4	4	2	2	2	2	2
GH38.hmm	0	1	2	1	2	2	4	2	2	2	2	2	2	4	1	2	1	2	2	1	2	2	4	2	4	2	1	5	4	4
GH81.hmm	0	1	1	0	1	1	3	2	1	1	0	1	1	3	0	1	2	4	4	1	1	1	3	4	16	4	3	1	1	4
GH13_5.hmm	1	2	4	2	1	1	3	2	0	0	4	2	2	3	3	2	2	2	2	0	2	2	4	4	6	3	2	1	1	2
GT71.hmm	0	0	0	0	7	9	0	7	3	3	0	0	2	14	0	5	0	0	0	13	0	0	0	0	0	0	0	0	0	0
CE9.hmm	7	6	3	1	1	0	2	2	1	2	2	2	1	1	0	1	1	2	2	1	1	1	1	2	0	3	1	3	2	2
CBM13.hmm	0	0	2	0	1	0	0	8	9	10	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	10	9	0
GT68.hmm	4	9	10	0	3	1	0	4	2	3	0	0	1	4	0	2	0	0	0	9	0	0	0	0	0	0	0	1	1	0
GT21.hmm	1	2	2	2	0	0	4	0	1	1	3	3	0	0	2	0	2	5	5	0	2	2	2	8	0	0	0	2	2	2
CBM32.hmm	0	2	3	0	1	0	2	0	1	1	0	2	2	2	0	2	0	0	0	3	1	1	2	1	8	2	1	7	6	1
GH13_25.hmm	0	1	1	1	2	2	2	2	2	2	2	3	1	2	0	1	1	2	2	2	1	1	1	2	6	2	1	2	2	2
GT3.hmm	2	3	3	1	1	1	1	2	2	2	2	1	1	1	1	1	2	2	2	0	1	1	1	2	4	1	1	2	2	4
AA1.hmm	1	2	3	1	0	0	0	0	1	1	3	1	0	0	0	0	0	3	7	0	0	0	0	4	4	0	1	1	3	14
GH13_8.hmm	2	3	3	1	1	1	2	2	1	1	2	2	1	2	1	1	1	2	2	1	1	1	1	2	4	0	1	2	2	2
GH25.hmm	1	1	1	0	2	4	6	6	0	0	0	0	0	9	0	1	0	0	0	10	2	2	3	0	0	0	0	0	0	0
CBM50.hmm	0	3	28	0	0	1	0	0	5	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	0
GH46.hmm	8	18	18	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT76.hmm	0	2	2	1	0	0	2	1	0	1	2	0	0	0	1	0	0	0	0	0	1	1	2	2	4	4	1	4	9	6
CBM48.hmm	3	3	3	1	1	1	2	2	1	1	2	2	1	2	0	1	1	2	2	1	1	1	1	2	2	0	1	2	2	2
GT33.hmm	1	1	1	1	1	2	2	2	1	1	2	1	1	2	0	1	1	2	2	2	1	1	2	2	4	1	1	3	2	2
GH109.hmm	3	8	10	0	0	0	2	0	3	3	3	1	1	0	0	0	0	0	1	0	1	1	2	0	0	0	0	3	2	0
CE14.hmm	0	1	2	1	1	1	2	1	1	1	2	2	1	2	0	1	0	1	1	0	1	1	1	2	6	2	1	3	2	4
GT66.hmm	1	1	1	1	1	1	1	2	1	1	2	2	1	2	0	1	1	2	2	1	1	1	1	2	2	1	1	3	4	2
GT41.hmm	1	1	0	1	1	1	2	2	0	0	2	2	1	2	0	1	1	2	2	0	1	1	2	2	4	1	1	3	3	2
GT24.hmm	1	1	2	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	2	4	1	1	2	2	2
GT50.hmm	0	1	1	1	1	1	0	3	1	1	0	2	1	1	0	0	1	1	1	1	1	1	2	2	10	1	1	2	2	2
CE3.hmm	0	1	2	1	1	0	2	2	0	0	1	1	0	1	1	0	2	3	2	0	1	1	1	0	8	4	2	1	2	2
GT31.hmm	2	5	6	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	9	0
AA4.hmm	0	4	4	1	2	0	1	0	3	3	1	2	0	0	1	2	0	1	1	1	1	1	2	2	0	1	1	2	2	2
GT35.hmm	2	3	2	1	0	0	1	0	2	2	1	0	0	0	2	0	1	2	2	0	1	1	1	2	4	1	2	2	2	2
AA1_2.hmm	2	2	3	1	0	0	2	0	5	5	2	1	0	0	1	0	0	1	1	0	3	1	2	1	4	0	1	0	0	0
GT59.hmm	0	1	1	1	1	0	0	0	1	0	3	0	1	1	1	1	1	0	0	0	1	0	2	2	8	4	1	2	2	2
CE12.hmm	0	1	2	1	4	3	2	1	1	1	2	1	0	5	1	1	0	0	0	4	1	1	1	2	0	0	0	0	0	0
GH152.hmm	6	9	7	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH35.hmm	0	0	0	1	1	0	0	2	1	1	2	0	2	2	1	1	0	3	1	2	0	0	0	2	4	0	1	3	3	2
GT34.hmm	4	14	12	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM9.hmm	5	16	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT49.hmm	2	5	4	0	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
PL38.hmm	8	10	10	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH63.hmm	1	1	1	0	0	1	2	2	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	4	1	1	3	1	2
GT28.hmm	0	1	1	1	1	0	1	0	0	1	2	1	0	1	0	1	0	1	1	0	1	1	1	2	2	2	1	2	2	2
AA9.hmm	2	1	1	0	1	0	0	4	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	10	1	1	0	0	2
GT58.hmm	0	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	1	1	2	1	0	1	2	0	2	1	3	2	2
GT2_Glyco_tranf_2_3.hmm	5	6	9	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH9.hmm	3	7	7	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AA3.hmm	1	3	2	0	0	0	0	0	3	2	0	1	0	1	0	1	0	2	1	1	0	0	0	2	0	0	1	0	2	0
GT2_Glyco_trans_2_3.hmm	0	0	0	0	1	1	0	2	3	3	0	0	1	2	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	2
AA1_3.hmm	0	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	2	8	1	2	0	1	1
GH28.hmm	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH13_17.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	2
GH13_3.hmm	0	0	0	1	1	1	2	4	0	0	0	1	1	2	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0
GT27.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0
PL14_5.hmm	1	7	8	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT10.hmm	0	3	4	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0
GT11.hmm	0	0	2	0	2	0	0	0	0	0	0	0	0	3	0	2	0	0	0	6	0	0	0	0	0	2	0	1	0	0
AA1_1.hmm	0	0	1	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	2	3	0	0	1	0
PL14.hmm	3	6	5	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA15.hmm	0	1	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	2	0
PL29.hmm	4	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT65.hmm	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	1	0	0	0	0	3	1	0
GH85.hmm	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
CE7.hmm	1	1	3	0	2	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GT23.hmm	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
AA5_1.hmm	2	3	3	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CE8.hmm	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT92.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	5	0
GH16_23.hmm	2	1	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CBM2.hmm	3	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT13.hmm	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
GH32.hmm	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GT64.hmm	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0
GT62.hmm	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GT43.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0
GH8.hmm	2	2	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM20.hmm	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
GT14.hmm	0	0	0	0	1	1	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GT5.hmm	1	1	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT47.hmm	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0
GH33.hmm	1	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PL6_2.hmm	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL22.hmm	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
GT17.hmm	1	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GH45.hmm	1	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH5.hmm	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0
CBM39.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0
GH2.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0
GH89.hmm	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
PL8.hmm	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT77.hmm	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH22.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0
GH5_7.hmm	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL14_3.hmm	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT16.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
AA12.hmm	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH13_15.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0
GT7.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0
GH84.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0
GT90.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
GH125.hmm	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH16_1.hmm	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM1.hmm	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL30.hmm	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH134.hmm	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH29.hmm	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
GH27.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
GH1.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
GH36.hmm	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT98.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
AA3_1.hmm	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CE2.hmm	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GT105.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
GH30_1.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
GH13_28.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
CBM12.hmm	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM47.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
GT54.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
GH13.hmm	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GT109.hmm	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH13_36.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GH76.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GH23.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
GH5_2.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
GT61.hmm	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH13_40.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
GH129.hmm	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CE6.hmm	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GT83.hmm	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GT25.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
CBM57.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
GT87.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
GH43_5.hmm	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH116.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GT29.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CBM40.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PL10.hmm	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL18.hmm	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM52.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AA10.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GT2_Glyco_tranf_2_4.hmm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
