DOMAIN	ACCESSION	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_CBS_931	Basidiobolus_ranarum_AG-B5	Conidiobolus_antarcticus__ARSEF_6913	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus__ARSEF_2731	Conidiobolus_heterosporus__ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_incongruus__NRRL_3022	Conidiobolus_incongruus__NRRL_3023	Conidiobolus_lamprauges__ARSEF_2338	Conidiobolus_lamprauges__NRRL_1229	Conidiobolus_megalotocus__ARSEF_8428	Conidiobolus_megalotocus__NRRL_3011	Conidiobolus_osmodes__ARSEF_79	Conidiobolus_polytocus__NRRL_1231	Conidiobolus_pumilus__ARSEF_6383	Conidiobolus_rhysosporus__ARSEF_448	Conidiobolus_rhysosporus__NRRL_1225	Conidiobolus_sp___NRRL_29146	Conidiobolus_thromboides_FSU_785	Conidiobolus_thromboides__ARSEF_4968	Conidiobolus_thromboides__NRRL_1224	Entomophaga_maimaiga_ARSEF_7190	Entomophthora_muscae_UCB	Entomophthora_muscae_UCB_Trinity	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
EF-hand_6	PF13405.9	15	23	28	16	13	16	27	27	13	12	24	32	15	32	12	16	9	23	25	14	16	16	28	24	45	18	11	44	39	26
Kelch_4	PF13418.9	5	11	14	12	17	16	24	24	18	15	23	23	19	23	11	13	13	20	20	29	12	13	21	29	39	21	12	28	27	26
Abhydrolase_6	PF12697.10	10	36	38	18	22	15	30	28	13	12	22	28	20	17	10	11	15	27	28	13	17	19	31	48	166	82	31	31	30	52
Arm	PF00514.26	7	7	14	4	3	3	9	3	9	9	9	10	2	6	4	2	4	9	7	1	4	5	9	12	24	10	4	25	10	10
zf-C2H2_4	PF13894.9	16	129	55	5	33	16	11	22	7	3	4	5	6	32	5	13	4	18	18	16	20	6	8	20	42	18	6	80	143	34
GTP_EFTU	PF00009.30	25	30	26	20	19	16	30	42	23	24	32	33	21	31	19	23	11	30	33	18	22	22	34	46	73	24	19	48	40	45
Chitin_synth_2	PF03142.18	29	48	53	20	16	25	23	32	25	25	20	22	14	28	12	18	15	31	32	17	13	13	26	36	80	25	26	36	33	50
RCC1	PF00415.21	3	7	8	7	5	6	11	9	7	7	10	7	6	8	7	5	2	7	7	6	4	4	6	16	34	21	7	29	17	17
Ion_trans	PF00520.34	5	18	18	5	14	16	10	23	4	7	14	12	17	32	4	14	2	7	6	24	7	6	8	33	56	25	17	71	37	14
Cation_ATPase	PF13246.9	26	43	46	17	21	18	31	42	21	21	25	21	20	28	13	21	14	25	28	19	21	21	28	46	75	23	19	45	24	37
Peptidase_S9	PF00326.24	14	36	41	23	17	23	29	42	16	13	24	37	16	21	15	12	21	25	26	7	18	17	29	24	128	54	22	36	17	20
Cyclin_N	PF00134.26	30	95	92	12	11	8	22	27	20	21	18	25	12	23	9	15	7	21	21	12	14	13	21	41	69	31	15	33	34	53
Acetyltransf_1	PF00583.28	20	52	56	16	26	23	26	25	31	31	23	24	20	37	10	18	9	20	20	34	16	17	20	31	60	36	15	36	28	43
CAP	PF00188.29	12	36	38	16	22	21	34	41	4	4	18	23	26	49	10	20	12	25	25	50	23	22	35	28	84	26	15	12	23	54
AhpC-TSA	PF00578.24	17	22	26	17	13	14	39	19	8	10	47	29	10	24	16	11	14	32	34	15	23	24	30	74	127	24	23	21	23	33
Peptidase_M16_C	PF05193.24	9	12	10	7	5	4	11	9	9	9	9	11	4	8	6	6	8	10	10	4	7	7	12	56	178	75	40	15	15	99
CBS	PF00571.31	11	25	23	13	10	10	16	19	15	15	15	19	9	15	12	10	7	19	18	7	10	10	16	23	43	25	11	20	16	24
Methyltransf_31	PF13847.9	19	53	52	15	19	14	23	33	41	42	20	27	24	34	12	19	6	22	21	19	18	18	26	32	55	24	14	36	28	43
ABC1	PF03109.19	24	46	45	13	19	15	27	29	24	26	29	34	14	25	9	15	8	30	27	15	21	18	31	29	57	32	14	50	32	45
SNF2-rel_dom	PF00176.26	14	32	30	16	14	12	30	24	25	26	33	27	16	23	16	16	15	30	29	18	15	16	28	48	78	26	16	48	33	36
Cyt-b5	PF00173.31	25	39	39	17	13	11	28	31	31	32	21	31	14	24	11	14	12	26	30	11	16	17	28	34	92	25	15	31	31	46
zf-met	PF12874.10	10	38	25	13	30	19	22	26	12	11	22	26	13	32	10	16	8	21	21	18	19	12	20	23	46	24	11	48	82	35
Kelch_1	PF01344.28	4	9	10	6	16	15	17	18	10	11	27	17	8	22	7	10	10	34	33	15	9	9	20	35	43	25	12	22	24	33
GST_N_3	PF13417.9	9	20	18	17	35	37	41	24	12	13	26	23	37	46	12	26	9	26	25	61	20	25	45	20	35	14	9	22	34	47
RVT_1	PF00078.30	0	0	1	0	0	0	2	10	0	1	2	0	1	1	2	1	54	0	0	2	0	1	1	5	57	200	80	95	268	3
Kinesin	PF00225.26	19	26	33	14	15	16	26	18	27	28	34	25	13	25	16	12	11	24	27	17	14	14	22	33	80	38	15	59	37	35
RabGAP-TBC	PF00566.21	12	33	37	14	14	15	28	26	27	29	19	27	13	25	9	14	8	29	30	11	14	15	22	34	68	27	17	63	34	33
F-box	PF00646.36	5	36	42	11	11	9	28	27	34	39	27	16	29	19	5	9	6	38	38	13	18	14	25	70	85	22	17	34	32	23
Aldo_ket_red	PF00248.24	15	20	34	17	28	25	36	24	17	19	33	46	4	16	17	12	13	23	23	32	23	22	39	25	68	44	13	18	22	41
GATA	PF00320.30	15	48	51	7	18	17	16	32	30	26	16	14	17	35	4	17	4	23	22	16	8	9	15	22	40	16	11	23	13	32
zf-RING_UBOX	PF13445.9	9	30	42	20	15	13	26	37	15	19	25	27	19	25	18	16	2	19	19	14	18	19	26	34	74	32	22	46	40	28
UQ_con	PF00179.29	19	31	42	17	15	10	25	29	22	22	20	31	18	31	11	15	5	27	28	17	16	16	27	34	75	28	18	45	41	37
Prenyltrans	PF00432.24	4	5	4	4	4	3	8	9	4	4	7	8	4	12	6	4	3	8	8	6	4	4	8	8	33	12	4	21	8	10
Chromo	PF00385.27	9	14	19	19	9	6	12	11	14	11	19	12	8	13	4	6	16	20	23	11	8	8	16	71	203	49	26	22	25	33
HSF_DNA-bind	PF00447.20	5	19	41	15	19	11	18	30	14	15	20	24	17	31	11	17	4	22	20	15	13	12	19	61	134	36	21	12	17	63
MatE	PF01554.21	2	6	9	10	22	22	19	22	4	4	32	17	15	27	12	9	6	15	15	27	11	11	21	14	32	15	6	10	9	15
Cation_ATPase_N	PF00690.29	14	49	46	10	27	21	29	54	19	17	24	18	23	29	7	19	5	21	22	27	17	17	25	36	52	23	15	23	20	32
NAD_binding_8	PF13450.9	21	40	44	11	29	18	17	37	22	24	13	16	24	34	12	11	25	49	48	44	10	10	17	20	29	7	10	30	24	39
Pyr_redox_2	PF07992.17	26	51	40	12	20	21	23	33	24	26	28	26	15	40	9	21	10	19	19	24	15	14	19	24	61	23	11	24	25	24
PX	PF00787.27	21	41	53	13	13	7	22	31	26	27	22	27	14	23	6	13	10	27	26	13	13	14	22	32	56	30	17	50	30	33
GST_C	PF00043.28	7	22	17	18	28	27	41	31	8	9	26	29	44	34	13	16	11	25	26	45	24	24	44	22	32	13	8	27	33	26
RhoGEF	PF00621.23	12	27	31	14	13	12	23	24	30	31	25	27	11	21	11	15	10	28	26	11	15	14	18	26	65	31	13	53	31	28
Inhibitor_I9	PF05922.19	3	36	35	16	27	19	18	3	5	4	16	17	17	33	12	10	5	23	25	35	19	21	27	52	144	35	19	7	6	32
Gtr1_RagA	PF04670.15	24	47	56	15	17	12	19	33	17	19	22	21	14	23	7	17	8	24	23	13	12	12	19	33	55	21	13	51	38	30
NAD_binding_4	PF07993.15	8	15	19	14	17	7	25	34	13	13	17	19	11	11	9	11	11	22	24	28	14	15	22	42	134	33	22	31	31	37
Peptidase_M28	PF04389.20	15	20	19	15	32	23	27	55	10	10	27	30	33	44	9	22	19	28	28	30	19	21	35	33	35	9	7	14	18	22
LIM	PF00412.25	4	7	10	3	3	2	10	7	10	9	9	10	4	7	3	3	3	8	7	3	4	4	8	14	26	11	7	93	27	22
Methyltransf_23	PF13489.9	17	52	46	12	14	11	22	30	43	45	14	21	19	25	10	15	7	19	18	14	15	15	21	26	51	31	12	22	26	26
UCH	PF00443.32	21	26	39	15	17	17	21	27	22	21	22	30	14	32	16	15	10	21	21	23	12	12	19	22	43	29	12	58	33	25
I-set	PF07679.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	52	0
HSP70	PF00012.23	7	25	42	7	10	18	12	16	13	14	12	9	16	21	6	12	5	10	10	11	7	7	8	90	117	27	23	31	36	44
zf-CCCH	PF00642.27	15	27	31	9	9	9	19	20	11	12	20	19	9	13	5	9	6	13	13	10	13	11	18	24	36	20	11	29	22	28
SET	PF00856.31	11	19	26	12	13	9	20	28	25	24	19	24	9	24	6	14	10	21	21	11	11	10	22	32	84	64	18	34	39	20
RhoGAP	PF00620.30	11	27	35	12	10	9	22	22	35	32	22	23	12	21	7	12	9	28	27	10	14	13	19	28	59	29	12	44	32	35
PQ-loop	PF04193.17	3	9	13	10	7	3	16	12	13	13	15	14	6	12	8	6	6	14	12	6	10	10	17	23	49	16	10	20	14	22
ubiquitin	PF00240.26	17	30	36	14	20	13	18	28	16	16	18	22	10	19	6	11	4	23	22	20	15	13	21	33	44	18	14	45	28	28
HATPase_c	PF02518.29	23	46	43	14	11	10	22	26	19	19	22	26	12	18	8	13	8	20	20	12	13	13	19	25	58	38	15	25	23	28
TPR_16	PF13432.9	14	25	32	6	9	5	13	19	17	20	12	11	10	12	7	9	2	13	13	9	6	8	13	17	33	10	11	31	27	25
HLH	PF00010.29	14	40	44	11	12	8	18	24	31	38	14	21	13	25	8	13	9	22	22	13	10	11	17	24	57	23	12	44	27	32
HSP20	PF00011.24	7	7	9	10	14	14	21	53	4	5	19	28	19	42	8	17	6	13	15	33	13	11	23	24	78	13	9	7	17	31
F-box-like	PF12937.10	9	49	64	10	21	12	20	23	39	41	17	17	22	18	6	9	2	8	11	18	12	13	23	35	42	18	13	28	31	23
Peptidase_M16	PF00675.23	7	12	11	8	5	5	11	9	9	9	10	9	4	8	6	6	5	9	10	5	7	7	12	53	185	61	38	13	16	102
Proteasome	PF00227.29	18	18	28	14	14	14	21	28	14	14	19	25	16	29	13	14	11	28	28	17	14	14	26	29	59	18	14	30	33	28
Bromodomain	PF00439.28	8	13	26	10	8	8	15	15	19	19	17	16	8	15	7	7	7	15	15	6	10	10	14	20	37	18	11	46	22	25
ADH_zinc_N	PF00107.29	24	55	34	12	31	26	10	27	24	25	17	10	15	12	10	10	6	10	11	33	25	21	15	21	52	18	13	26	20	34
HMG_box	PF00505.22	20	39	56	15	6	5	21	16	20	18	22	23	8	12	11	9	4	17	17	9	13	12	18	28	39	7	10	37	17	21
bZIP_1	PF00170.24	16	32	29	14	12	10	16	25	31	29	18	24	17	26	11	14	11	32	32	14	13	14	19	27	41	19	13	26	18	32
Peptidase_M20	PF01546.31	8	11	17	18	27	17	26	47	4	4	24	29	29	37	12	18	20	34	35	24	18	19	30	24	29	17	8	15	14	14
Glyco_tran_28_C	PF04101.19	0	3	2	13	26	26	23	16	5	3	30	23	12	14	10	9	5	24	26	23	14	15	21	39	116	21	24	17	19	49
Microtub_bd	PF16796.8	16	26	30	13	12	11	22	18	24	24	23	21	11	18	7	12	7	20	20	14	14	13	19	29	58	30	15	40	27	33
Cyclin	PF08613.14	31	111	99	10	8	7	10	18	20	20	10	14	9	15	7	9	2	11	12	9	9	8	12	28	54	15	12	13	13	28
bZIP_2	PF07716.18	23	38	36	13	13	11	19	30	29	26	18	27	18	32	8	16	5	24	24	16	10	13	17	22	30	14	9	30	18	32
EamA	PF00892.23	4	20	25	10	17	13	11	22	8	8	13	15	10	30	4	12	4	15	16	21	8	7	17	22	50	26	11	12	15	26
Abhydrolase_3	PF07859.16	3	16	16	7	34	42	19	41	14	13	11	9	45	57	6	29	5	8	8	40	14	13	23	6	6	11	4	24	18	8
Pro_isomerase	PF00160.24	13	19	19	13	13	13	26	23	16	15	29	29	17	21	10	14	4	17	16	13	17	19	28	29	51	22	14	33	29	33
PPR_long	PF17177.7	34	35	39	2	3	3	8	4	13	13	5	5	3	8	1	4	2	2	2	4	4	4	8	58	17	12	4	2	7	10
PTR2	PF00854.24	16	38	20	12	8	8	8	16	4	4	14	9	9	19	8	9	5	14	15	12	13	12	10	43	112	39	28	9	10	44
zf-C3HC4_3	PF13920.9	9	34	44	13	9	8	18	15	14	15	22	20	11	16	10	8	2	13	15	6	12	11	17	27	63	21	15	65	42	31
GST_C_3	PF14497.9	12	25	23	17	25	23	22	26	9	10	21	20	35	30	11	13	9	22	24	38	13	13	23	20	26	10	8	26	30	26
Lipase_GDSL	PF00657.25	3	8	21	8	13	14	16	16	14	16	10	13	16	20	6	6	11	23	21	30	8	8	12	56	94	26	21	5	11	80
GST_N	PF02798.23	7	23	16	17	23	24	23	23	7	8	23	22	25	31	13	14	6	22	21	35	14	17	30	22	32	13	8	24	33	24
LSM	PF01423.25	14	21	24	15	15	11	23	29	14	16	25	27	14	29	9	16	7	25	24	13	16	16	21	32	58	10	9	16	18	34
Glyco_hydro_16	PF00722.24	10	19	16	12	14	14	19	33	8	8	24	20	13	26	9	15	9	21	22	16	11	11	19	41	68	23	16	12	19	53
Glyco_tranf_2_3	PF13641.9	21	43	40	20	10	8	23	29	17	18	17	14	13	14	10	13	12	25	29	9	13	13	16	32	51	12	6	12	17	38
CH	PF00307.34	7	13	16	7	9	5	13	18	12	11	14	12	9	17	4	10	3	10	8	6	6	6	9	18	26	10	7	46	26	20
AhpC-TSA_2	PF13911.9	0	1	2	13	3	3	31	5	0	0	39	21	3	5	11	2	12	26	26	1	18	20	21	91	147	25	34	7	9	17
3Beta_HSD	PF01073.22	16	30	30	17	9	6	30	14	8	10	22	23	8	9	10	9	9	19	20	7	20	20	27	25	58	18	12	26	25	51
Gti1_Pac2	PF09729.12	6	14	12	25	5	5	32	8	7	5	30	40	9	10	18	5	9	22	22	5	23	19	27	48	56	19	13	4	6	70
TRI12	PF06609.16	7	32	21	17	18	17	34	31	10	12	25	18	15	23	10	11	7	21	22	24	23	20	24	16	28	10	8	14	9	56
GMC_oxred_N	PF00732.22	1	5	8	6	11	10	12	6	6	6	6	12	15	18	7	6	20	23	21	22	7	6	13	22	66	11	13	21	14	32
PCI	PF01399.30	15	20	23	14	14	12	18	27	16	16	16	24	10	23	9	14	10	23	23	8	12	12	20	26	52	17	13	31	30	28
Acyl-CoA_dh_1	PF00441.27	11	24	17	10	15	13	26	30	15	13	15	21	20	28	6	17	7	19	19	20	13	14	21	21	58	13	10	24	23	30
Glyco_trans_2_3	PF13632.9	18	45	40	20	10	8	23	25	21	20	18	13	12	11	11	12	11	23	28	8	13	13	16	33	42	3	7	10	19	40
