DOMAIN	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_B9252	Basidiobolus_meristosporus_CBS_931	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus_ARSEF_2731	Conidiobolus_firmipilleus_ARSEF_6384	Conidiobolus_heterosporus_ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_lamprauges_ARSEF_2338	Conidiobolus_megalotocus_ARSEF_8428	Conidiobolus_osmodes_ARSEF_79	Conidiobolus_pumilus_ARSEF_6383	Conidiobolus_rhysosporus_ARSEF_448	Conidiobolus_thromboides_ARSEF_4968	Conidiobolus_thromboides_FSU_785	Entomophthora_muscae_Berkeley_v1	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
M12B	0	0	2	0	0	0	2	0	1	0	1	1	2	1	1	9	5	9	6	1
M76	2	3	3	1	1	2	2	3	1	2	1	1	0	1	2	3	2	4	3	2
C02A	0	1	1	1	1	1	0	1	2	1	0	1	1	0	1	2	1	19	3	1
I04	4	5	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8	11	0
C54	0	2	2	1	2	1	2	2	1	1	2	2	2	2	1	2	1	6	4	1
C83	3	4	4	0	0	1	4	2	2	1	1	0	3	2	2	2	2	1	1	2
M48C	1	1	1	1	2	3	2	4	4	3	1	1	1	1	2	1	1	2	1	3
S26A	0	1	2	2	2	2	0	2	1	2	1	0	1	0	2	3	2	5	4	2
S26B	0	1	2	3	2	2	0	4	1	3	1	1	2	1	1	2	1	2	2	3
M80	1	1	2	2	2	2	2	3	0	1	1	0	1	1	2	3	2	2	2	2
M28B	0	0	0	1	0	3	4	3	2	3	1	1	1	2	2	2	1	2	2	2
T02	2	1	2	1	1	1	1	1	2	1	0	0	0	0	1	2	1	8	4	1
A22B	1	1	1	1	1	1	3	2	3	1	1	1	1	1	1	0	1	3	3	1
S14	1	1	1	1	1	1	2	2	2	1	1	1	2	2	1	1	1	2	2	1
C13	1	2	1	1	1	1	2	2	1	2	1	0	1	1	1	1	1	2	2	1
C65	0	1	1	0	1	1	2	2	2	1	1	1	1	1	1	1	2	3	2	0
A28	1	1	0	0	1	1	2	2	2	1	1	0	2	1	0	1	1	3	2	1
T05	1	1	1	1	1	1	1	2	2	1	1	0	1	1	1	2	2	1	1	1
C50	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	2	1	1	4	1
I87	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1
T01X	1	1	2	1	1	1	0	2	1	1	1	1	2	0	0	1	1	1	1	1
C15	0	1	1	0	0	1	0	2	2	1	0	0	1	1	1	1	1	2	2	3
C14A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	10	0
I51	2	3	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	4	0
M67C	0	0	1	1	1	1	0	1	2	1	1	1	1	0	1	0	0	2	2	1
C97	1	2	1	0	0	1	0	2	0	1	0	0	0	0	0	1	1	3	2	1
I39	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	8	0
C01A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0
M79	0	0	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	2	1
M50A	0	2	1	1	0	1	0	1	0	1	0	0	0	0	1	2	1	1	1	1
S59	0	2	3	1	1	1	0	2	0	1	0	0	0	0	0	0	0	1	1	0
C85B	1	2	1	1	1	1	0	4	0	0	0	0	0	0	0	0	0	1	1	0
I32	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0
S60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0
N09	0	0	0	0	0	1	2	0	6	1	0	0	0	1	0	0	0	0	0	0
M14B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0
M49	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
M02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0
C86	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	2	1	1
A22A	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
I02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0
M12A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0
I93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0
I16	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S01B	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0
C01B	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
M50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
C64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
M19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
I25A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
S11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
C45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
M32	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
M10A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
S63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
M14D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
C95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
C67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
M23B	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
M16X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
S51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
S53	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
M48B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
M08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
U62	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
