Orthogroup	Conidiobolus_thromboides_FSU_785.Conth1.v1.aa	Entomophaga_maimaiga_ARSEF_7190.v1.aa	Entomophthora_muscae_UCB.v3_longest.aa	Zoophthora_radicans_ATCC_208865.aa	Total	CAZY	MEROPS	Pfam
OG0000101	0	0	0	46	46		MER0011188:1,MER0000192:1,MER0039039:1,MER0000030:1,MER0000138:1,MER0014226:1,MER0000069:1,MER0004977:1,MER0029445:1,MER0011476:1,MER0011213:1,MER0000139:1,MER0000004:1,MER0029901:1,MER0000212:1,MER0011038:1,MER0044510:1,MER0016592:1,MER0000216:1,MER0001850:1,MER0025431:1,MER0000144:1,MER0000067:1,MER0003615:1,MER0005279:1,MER0002738:1,MER0013796:1,MER0012080:1,MER0015076:1,MER0011285:1,MER0003712:1,MER0000041:1,MER0011497:1,MER0001995:1,MER0011294:1,MER0002173:1,MER0016349:1,MER0000021:1,MER0000244:1,MER0000020:1,MER0005881:1,MER0002834:1,MER0011730:1,MER0005926:1,MER0011291:1,MER0000032:1,MER0001705:2,MER0001650:2,MER0000048:2,MER0006118:2,MER0000065:2,MER0021884:2,MER0027318:2,MER0000024:2,MER0022412:2,MER0011501:2,MER0011498:3,MER0163268:3,MER0003048:3,MER0011500:3,MER0000073:4,MER0011420:4,MER0000040:4,MER0003605:4,MER0002683:4,MER0001503:5,MER0001999:5,MER0011190:5,MER0011091:5,MER0028239:5,MER0000133:5,MER0000210:5,MER0003735:6,MER0014385:6,MER0005547:7,MER0011729:7,MER0000247:8,MER0003736:8,MER0011278:8,MER0011492:8,MER0011323:8,MER0022427:8,MER0005278:9,MER0003699:10,MER0030336:12,MER0099175:14,MER0000203:14,MER0005414:17,MER0000057:17,MER0002157:20,MER0000207:25,MER0000077:25	Trypsin_2:1,Trypsin:44
OG0000102	0	0	0	46	46			
OG0000103	0	0	0	46	46			DUF1418:1
OG0000104	45	0	0	0	45			
OG0000105	45	0	0	0	45			
OG0000106	0	44	0	0	44			
OG0000107	0	44	0	0	44		MER0039469:1,MER0039468:1,MER0039458:3,MER0039462:4,MER0039461:6,MER0044514:8,MER0039464:26,MER0039457:30,MER0039485:32,MER0071798:32,MER0044620:38,MER0039476:38,MER0039490:39,MER0044996:39,MER0114503:40,MER0039482:41	Peptidase_C14:42
OG0000108	0	2	42	0	44			
OG0000109	0	0	44	0	44			RVP_2:9
OG0000110	0	0	44	0	44			Chromo:1
OG0000111	0	0	44	0	44			F-box-like:1,F-box:10
OG0000112	0	0	0	44	44			
OG0000113	0	43	0	0	43			Peptidase_M64:1
OG0000114	0	1	42	0	43			
OG0000115	0	2	41	0	43			zf-CCHC:7
OG0000116	0	0	43	0	43			Chromo:1
OG0000117	0	0	2	41	43			Asp_protease_2:1,gag-asp_proteas:1,RVP_2:1
OG0000118	0	40	2	0	42			F-box:5
OG0000119	0	2	38	2	42			
OG0000120	0	0	42	0	42			
OG0000121	12	3	7	19	41			Tyrosinase:39
OG0000122	0	41	0	0	41			Recep_L_domain:1
OG0000123	0	0	41	0	41			RVP_2:10
OG0000124	0	0	41	0	41			
OG0000125	0	40	0	0	40			
OG0000126	0	0	40	0	40			
OG0000127	0	0	0	40	40			
OG0000128	0	38	0	1	39			
OG0000129	0	0	39	0	39			
OG0000130	0	0	39	0	39			
OG0000131	0	0	0	39	39			
OG0000132	0	0	0	39	39			
OG0000133	0	0	0	39	39			
OG0000134	0	38	0	0	38			
OG0000135	0	38	0	0	38			
OG0000136	0	38	0	0	38			
OG0000137	0	1	37	0	38			zf-CCHC:3
OG0000138	0	0	38	0	38			
OG0000139	0	0	38	0	38			DDE_3:11
OG0000140	0	0	0	38	38			
OG0000141	0	0	0	38	38			
OG0000142	0	0	0	37	37			
OG0000143	0	0	0	37	37			Peptidase_S41:31
OG0000144	9	10	8	9	36			
OG0000145	14	8	5	9	36		MER0014226:1,MER0011323:1,MER0024840:1,MER0000210:1,MER0000020:1,MER0011501:1,MER0002460:1,MER0016584:1,MER0030159:1,MER0000033:1,MER0030336:1,MER0005547:1,MER0022427:1,MER0011442:1,MER0005414:1,MER0011038:1,MER0000247:1,MER0003615:1,MER0012080:1,MER0011234:2,MER0004442:2,MER0000207:2,MER0000021:2,MER0000156:2,MER0001999:2,MER0011471:2,MER0014385:2,MER0002157:2,MER0006118:2,MER0011233:2,MER0000029:3,MER0022410:3,MER0000245:3,MER0003735:3,MER0005926:3,MER0003736:4,MER0001995:4,MER0163268:4,MER0000040:4,MER0003728:5,MER0003707:5,MER0012082:5,MER0003605:5,MER0000203:6,MER0000032:6,MER0000216:7,MER0003699:7,MER0005278:7,MER0003048:8,MER0000073:9,MER0011420:9,MER0016598:11,MER0000024:11,MER0099175:12,MER0000041:13,MER0000133:14,MER0011091:19,MER0011278:24,MER0000077:24,MER0011167:25,MER0011492:27,MER0000057:29	Trypsin:36
OG0000146	0	9	8	19	36			
OG0000147	0	36	0	0	36			
OG0000148	0	1	35	0	36			
OG0000149	0	0	36	0	36			
OG0000150	0	0	36	0	36			
OG0000151	0	0	36	0	36			gag-asp_proteas:1
OG0000152	0	0	36	0	36			
OG0000153	0	0	36	0	36			Integrase_H2C2:8
OG0000154	35	0	0	0	35			Fungal_trans:1,Zn_clus:19
OG0000155	1	5	26	3	35		MER0036070:1,MER0044641:3,MER0036048:6,MER0036081:7,MER0044580:10,MER0036049:13,MER0036047:14,MER0036062:17,MER0036063:20,MER0045883:21,MER0036051:21,MER0036050:24,MER0036052:28,MER0036114:30,MER0031618:30	DLH:1,Peptidase_S9:16,Abhydrolase_1:25,Abhydrolase_6:30,Hydrolase_4:39
OG0000156	0	35	0	0	35			
OG0000157	0	35	0	0	35			
OG0000158	0	2	32	1	35			gag-asp_proteas:1,RT_RNaseH:1,RT_RNaseH_2:1,Asp_protease_2:3,RVT_1:6
OG0000159	0	1	34	0	35			
OG0000160	0	0	35	0	35			
OG0000161	0	0	35	0	35			
OG0000162	0	0	35	0	35			
OG0000163	0	0	0	35	35			
OG0000164	0	34	0	0	34			
OG0000165	0	0	34	0	34			
OG0000166	0	0	34	0	34			
OG0000167	0	0	34	0	34			Chromo:1
OG0000168	0	0	34	0	34			
OG0000169	0	0	0	34	34			
OG0000170	8	12	8	5	33			Amidase:30
OG0000171	0	7	26	0	33			
OG0000172	0	0	33	0	33			
OG0000173	0	0	33	0	33			Chromo:1
OG0000174	0	0	33	0	33			
OG0000175	0	0	33	0	33			
OG0000176	0	0	0	33	33			
OG0000177	0	1	31	0	32			
OG0000178	0	8	24	0	32			RVT_1:1
OG0000179	0	0	32	0	32			
OG0000180	0	0	32	0	32			Retrotrans_gag:7
OG0000181	0	0	32	0	32			
OG0000182	0	0	0	32	32			
OG0000183	31	0	0	0	31			Fungal_trans:1
OG0000184	31	0	0	0	31			p450:31
OG0000185	7	8	7	9	31			PTR2:33
OG0000186	0	31	0	0	31			PTCB-BRCT:1,BRCT:29
OG0000187	0	10	10	11	31			E1_DerP2_DerF2:29
OG0000188	0	2	29	0	31			
OG0000189	0	0	31	0	31			Integrase_H2C2:3
OG0000190	0	0	31	0	31			
OG0000191	0	0	30	1	31			
OG0000192	0	30	0	0	30			Muskelin_N:1,DUF4084:1,HTH_38:1,FUR:1,HTH_7:2
OG0000193	0	5	25	0	30			Exo_endo_phos_2:1,RVT_1:1
OG0000194	0	22	0	8	30			
OG0000195	0	1	29	0	30			Chromo:8
OG0000196	0	0	30	0	30			
OG0000197	0	0	30	0	30			
OG0000198	0	0	30	0	30			
OG0000199	29	0	0	0	29			
OG0000200	0	4	18	7	29			ArsA_HSP20:3,HSP20:27
OG0000201	0	0	29	0	29			
OG0000202	0	0	29	0	29			
OG0000203	0	0	29	0	29			
OG0000204	0	0	29	0	29			Epimerase:20,NAD_binding_4:24
OG0000205	0	0	29	0	29			
OG0000206	0	0	0	29	29			
OG0000207	0	0	0	29	29			
OG0000208	0	0	0	29	29			
OG0000209	11	1	2	14	28			GST_C_3:1,GST_C_2:1,GST_N:2,GST_C:9,GST_N_2:22,GST_N_3:23
OG0000210	0	1	27	0	28			
OG0000211	0	6	19	3	28			
OG0000212	0	6	22	0	28			
OG0000213	0	0	28	0	28			
OG0000214	0	0	0	28	28			
OG0000215	0	0	0	28	28			
OG0000216	0	0	0	28	28			
OG0000217	6	5	6	10	27			zf-C2H2_jaz:1,zf-C2H2_6:1,zf-C2H2_4:15,zf-met:25,zf-C2H2:26
OG0000218	14	7	0	6	27			Fungal_trans:1,Zn_clus:28
OG0000219	10	11	6	0	27			
OG0000220	0	27	0	0	27			HTH_23:2,HTH_24:5
OG0000221	0	20	6	1	27			
OG0000222	0	27	0	0	27			
OG0000223	0	8	14	5	27	AA11+AA11:5		LPMO_10:6
OG0000224	0	1	26	0	27			
OG0000225	0	0	27	0	27			Collagen:7
OG0000226	0	0	27	0	27			Integrase_H2C2:1
OG0000227	0	0	27	0	27			
OG0000228	0	0	0	27	27			
OG0000229	2	6	12	6	26			CBFD_NFYB_HMF:6,CENP-T_C:26,TAF:26
OG0000230	0	26	0	0	26			
OG0000231	0	26	0	0	26			
OG0000232	0	0	26	0	26			DHC_N1:1
OG0000233	0	0	26	0	26			zf-RVT:1
OG0000234	0	0	26	0	26			
OG0000235	0	0	26	0	26			NAM-associated:1
OG0000236	0	0	26	0	26			CLASP_N:19
OG0000237	0	0	26	0	26			
OG0000238	0	0	0	26	26			
OG0000239	0	0	0	26	26			
OG0000240	0	0	0	26	26			
OG0000241	12	6	4	3	25		MER0000328:1,MER0000326:2,MER0006074:3,MER0004720:4,MER0005078:12,MER0000357:12,MER0003117:14,MER0000336:14,MER0000325:19,MER0002764:22,MER0000344:22,MER0000359:25,MER0000338:25,MER0000335:25,MER0000356:25,MER0002516:25	Inhibitor_I9:20,Peptidase_S8:26
OG0000242	24	0	0	1	25			
OG0000243	3	4	17	1	25			ArsA_HSP20:24,HSP20:25
OG0000244	4	7	7	7	25			ASMase_C:14,Metallophos:22
OG0000245	0	1	24	0	25			
OG0000246	0	2	23	0	25			Lipase_3:24
OG0000247	0	0	25	0	25			zf-CCHC:12
OG0000248	0	0	25	0	25			
OG0000249	0	0	25	0	25			LPMO_10:14
OG0000250	0	0	25	0	25			RVP_2:3,gag-asp_proteas:6,Asp_protease_2:11
OG0000251	0	0	0	25	25			
OG0000252	0	0	0	25	25			
OG0000253	1	0	5	18	24			
OG0000254	1	7	15	1	24			Zn_clus:5
OG0000255	3	5	5	11	24			p450:23
OG0000256	4	14	5	1	24			Redoxin:1,AhpC-TSA:23,AhpC-TSA_2:24
OG0000257	7	5	7	5	24			GST_N_2:1,GST_C_2:17,GST_N_3:18,GST_N:22,GST_C_3:23,GST_C:24
OG0000258	0	24	0	0	24			
OG0000259	0	24	0	0	24			F-box:2
OG0000260	0	24	0	0	24			
OG0000261	0	11	12	1	24			
OG0000262	0	0	24	0	24			
OG0000263	0	0	24	0	24			Retrotrans_gag:10
OG0000264	0	0	24	0	24			Integrase_H2C2:1
OG0000265	0	0	24	0	24			
OG0000266	0	0	24	0	24			
OG0000267	0	0	24	0	24			
OG0000268	0	0	0	24	24			
OG0000269	0	0	0	24	24			Lipase_3:23
OG0000270	0	0	0	24	24			
OG0000271	0	0	0	24	24			
OG0000272	2	6	11	4	23			Cyclin:2,Cyclin_N:3
OG0000273	23	0	0	0	23			F-box:5
OG0000274	23	0	0	0	23			HTH_38:1,HTH_7:4,HTH_23:4,HTH_Tnp_Tc5:8,CENP-B_N:16
OG0000275	9	4	6	4	23			Barwin:1,Cerato-platanin:19
OG0000276	4	1	12	6	23			Histone:23
OG0000277	14	2	3	4	23			ADH_zinc_N_2:3,ADH_N_2:15,ADH_zinc_N:16
OG0000278	6	2	10	5	23		MER0004720:1,MER0000335:1,MER0005078:1,MER0000338:1,MER0004690:1,MER0028365:1,MER0016978:1,MER0019280:2,MER0081072:2,MER0001520:2,MER0000315:2,MER0030016:3,MER0000310:3,MER0003117:4,MER0000321:4,MER0001906:4,MER0016983:6,MER0062058:7,MER0013656:7,MER0077555:7,MER0001699:8,MER0000332:9,MER0001928:10,MER0000311:11,MER0000312:16,MER0001523:18,MER0001755:22,MER0001521:22,MER0000313:22,MER0000347:23	Inhibitor_I9:2,Peptidase_S8:23
OG0000279	1	1	2	19	23			
OG0000280	0	13	10	0	23		MER0001220:1,MER0078753:2,MER0001214:14,MER0001218:15,MER0003823:15,MER0002345:15,MER0011096:15,MER0002423:15,MER0003386:15,MER0011744:15,MER0015259:15,MER0002283:15	Peptidase_M16:15,Peptidase_M16_M:21,Peptidase_M16_C:30
OG0000281	0	0	23	0	23			Asp_protease_2:3
OG0000282	0	0	23	0	23			
OG0000283	0	0	23	0	23			F-box:1
OG0000284	0	0	23	0	23			
OG0000285	0	0	0	23	23		MER0044510:1	Trypsin:19
OG0000286	0	0	0	23	23			
OG0000287	17	1	2	2	22			Peptidase_S41:14
OG0000288	12	3	2	5	22			CAP:12
OG0000289	5	6	10	1	22			Tyrosinase:20
OG0000290	8	2	2	10	22			Aldo_ket_red:22
OG0000291	4	3	13	2	22			p450:20
OG0000292	4	8	6	4	22			Trp_Tyr_perm:2,Aa_trans:22
OG0000293	0	22	0	0	22			
OG0000294	0	1	21	0	22			
OG0000295	0	4	4	14	22			7tm_1:15
OG0000296	0	1	21	0	22			Ion_trans:2
OG0000297	0	4	9	9	22			
OG0000298	0	0	22	0	22			
OG0000299	0	0	22	0	22			
OG0000300	0	0	0	22	22		MER0046821:1,MER0122186:1,MER0169735:1,MER0078753:2,MER0142516:2,MER0001220:3,MER0002423:15,MER0001218:17,MER0001214:17,MER0003386:18,MER0011744:18,MER0015259:18,MER0011096:18,MER0003823:18,MER0002345:18,MER0002283:18	Peptidase_M16:18,Peptidase_M16_M:20,Peptidase_M16_C:40
OG0000301	0	0	0	22	22			
OG0000302	0	0	0	22	22			
OG0000303	0	0	0	22	22			
OG0000304	13	3	4	1	21			CsbD:24
OG0000305	21	0	0	0	21			DUF676:1,Lipase_3:18
OG0000306	10	2	8	1	21			Redoxin:8,AhpC-TSA_2:20,AhpC-TSA:21
OG0000307	3	4	8	6	21			Orn_Arg_deC_N:21,Orn_DAP_Arg_deC:21
OG0000308	1	1	17	2	21			FAR1:21
OG0000309	1	7	13	0	21			
OG0000310	3	5	8	5	21			Far-17a_AIG1:1
OG0000311	0	21	0	0	21			
OG0000312	0	19	2	0	21			F-box:1
OG0000313	0	12	8	1	21			MADF_DNA_bdg:4,Myb_DNA-bind_4:20
OG0000314	0	16	5	0	21		MER0000373:2,MER0000377:2,MER0001778:4,MER0004113:4,MER0001610:6,MER0000383:9,MER0001603:9,MER0000375:10,MER0002264:10,MER0000374:12,MER0001514:13,MER0000381:15,MER0192109:15,MER0000376:16,MER0001604:17,MER0000364:18,MER0077856:18	P_proprotein:10,Peptidase_S8:18
OG0000315	0	5	11	5	21			
OG0000316	0	1	20	0	21			
OG0000317	0	0	21	0	21			
OG0000318	0	0	21	0	21			Retrotrans_gag:3
OG0000319	0	0	21	0	21			
OG0000320	0	0	21	0	21			
OG0000321	0	0	21	0	21			Lipase_3:19
OG0000322	0	0	21	0	21			
OG0000323	0	0	21	0	21			
OG0000324	0	0	21	0	21			
OG0000325	0	0	0	21	21			F-box:1
OG0000326	0	0	0	21	21			
OG0000327	0	0	0	21	21			
OG0000328	20	0	0	0	20			7tm_1:3
OG0000329	11	3	6	0	20			Cu-oxidase:19,Cu-oxidase_3:19,Cu-oxidase_2:25
OG0000330	1	6	10	3	20		MER0000325:1,MER0006074:2,MER0002764:3,MER0000336:7,MER0004720:12,MER0000344:18,MER0000335:19,MER0005078:19,MER0002516:19,MER0000338:20,MER0000359:20,MER0000356:20,MER0003117:20,MER0000357:20	Inhibitor_I9:20,Peptidase_S8:21
OG0000331	0	20	0	0	20			Allantoicase:19
OG0000332	0	18	2	0	20			Zn_clus:7
OG0000333	0	4	10	6	20			p450:19
OG0000334	0	19	1	0	20			RT_RNaseH:1,Integrase_H2C2:9
OG0000335	0	1	19	0	20			
OG0000336	0	0	20	0	20			
OG0000337	0	0	20	0	20			
OG0000338	0	0	20	0	20			Abhydrolase_6:4,Abhydrolase_1:5
OG0000339	0	0	20	0	20			Elf4:2
OG0000340	0	0	0	20	20			Lipase_3:19
OG0000341	0	0	0	20	20			DUF2974:7,Lipase_3:20
OG0000342	0	0	0	20	20			BTB:15
OG0000343	0	0	0	20	20			
OG0000344	0	0	0	20	20			
OG0000345	0	0	0	20	20			
OG0000346	0	0	0	20	20			
OG0000347	0	0	0	20	20			
OG0000348	0	0	0	20	20			
OG0000349	1	2	7	9	19			DAGAT:19
OG0000350	19	0	0	0	19			SPRY:10
OG0000351	5	4	10	0	19			Lipase_3:18
OG0000352	1	11	6	1	19			zf-C3HC4:2,Ariadne:11,IBR:25
OG0000353	6	0	0	13	19			Lipase_3:18
OG0000354	3	2	12	2	19			Tyrosinase:19
OG0000355	1	1	15	2	19		MER0086098:3,MER0122467:9	OTU:12
OG0000356	0	19	0	0	19			
OG0000357	0	19	0	0	19			dUTPase:1
OG0000358	0	19	0	0	19			
OG0000359	0	19	0	0	19			F-box:3,F-box-like:4
OG0000360	0	18	1	0	19			FGGY_C:5,MreB_Mbl:17,HSP70:22
OG0000361	0	4	5	10	19			
OG0000362	0	7	12	0	19			
OG0000363	0	2	17	0	19			
OG0000364	0	2	0	17	19			Sacchrp_dh_NADP:6,Semialdhyde_dh:11,3Beta_HSD:11,Epimerase:14,NAD_binding_10:15,NmrA:16
OG0000365	0	0	19	0	19			
OG0000366	0	0	19	0	19			
OG0000367	0	0	19	0	19			
OG0000368	0	0	19	0	19			
OG0000369	0	0	19	0	19			Chromo:1
OG0000370	0	0	19	0	19			
OG0000371	0	0	19	0	19			
OG0000372	0	0	19	0	19		MER0078753:1,MER0001220:3,MER0003386:4,MER0001222:4,MER0169735:7,MER0011096:12,MER0001214:13,MER0002345:13,MER0002283:14,MER0001218:14,MER0011744:14,MER0015259:14,MER0002423:14,MER0003823:14	Peptidase_M16_M:5,Peptidase_M16:14,Peptidase_M16_C:16
OG0000373	0	0	19	0	19			
OG0000374	0	0	0	19	19			
OG0000375	4	2	8	4	18			MFS_1_like:1,MFS_4:1,Sugar_tr:6,MFS_1:27
OG0000376	6	4	5	3	18			Cation_ATPase_N:14,Cation_ATPase:16,E1-E2_ATPase:16,Hydrolase:16,Cation_ATPase_C:17
OG0000377	2	0	15	1	18			
OG0000378	0	14	4	0	18			
OG0000379	0	17	1	0	18			
OG0000380	0	18	0	0	18			
OG0000381	0	18	0	0	18			Dicer_dimer:10
OG0000382	0	18	0	0	18			
OG0000383	0	3	15	0	18		MER0000383:1,MER0004113:1,MER0000376:7,MER0001603:8,MER0000374:9,MER0000375:10,MER0001514:10,MER0192109:10,MER0077856:11,MER0000364:11,MER0000381:11,MER0001604:11,MER0002264:11	Peptidase_S8:12,P_proprotein:12
OG0000384	0	18	0	0	18			
OG0000385	0	2	16	0	18			
OG0000386	0	1	16	1	18			
OG0000387	0	17	0	1	18			
OG0000388	0	0	18	0	18			
OG0000389	0	0	18	0	18			
OG0000390	0	0	18	0	18			Retrotrans_gag:1,gag-asp_proteas:1,RVP_2:1
OG0000391	0	0	18	0	18			
OG0000392	0	0	18	0	18			Chromo:1
OG0000393	0	0	18	0	18			
OG0000394	0	0	18	0	18			AhpC-TSA_2:1
OG0000395	0	0	18	0	18			rve:2
OG0000396	0	0	18	0	18			BBE:12,FAD_binding_4:16
OG0000397	0	0	18	0	18			
OG0000398	0	0	18	0	18			Abhydrolase_1:5
OG0000399	0	0	0	18	18			Glyco_tran_28_C:3,UDPGT:16
OG0000400	0	0	0	18	18			Fungal_trans:1,Zn_clus:4
OG0000401	0	0	0	18	18			
OG0000402	0	0	0	18	18			
OG0000403	1	6	10	0	17		MER0099175:1,MER0028194:1,MER0011730:1,MER0002684:1,MER0044510:1,MER0011360:1,MER0000160:1,MER0011223:1,MER0000009:1,MER0011237:1,MER0003048:1,MER0011167:1,MER0030161:1,MER0000040:1,MER0011270:1,MER0001382:1,MER0011354:1,MER0014550:1,MER0001777:1,MER0000125:1,MER0055313:1,MER0003549:1,MER0000064:1,MER0001705:1,MER0027244:1,MER0016641:1,MER0000133:2,MER0000123:2,MER0003634:2,MER0004505:2,MER0001379:2,MER0001641:2,MER0000124:2,MER0003732:2,MER0036367:2,MER0001651:2,MER0011144:2,MER0000020:2,MER0021866:2,MER0011483:2,MER0011504:2,MER0027975:2,MER0000033:2,MER0000034:2,MER0013801:3,MER0000073:3,MER0000002:3,MER0030336:4,MER0001503:4,MER0011188:4,MER0000024:4,MER0000077:4,MER0000158:5,MER0011442:5,MER0011359:5,MER0000048:5,MER0016584:5,MER0011091:6,MER0011841:6,MER0001650:7,MER0000155:7,MER0002185:8	Trypsin_2:4,Trypsin:16
OG0000404	2	5	8	2	17			Sugar_tr:17,MFS_1:19
OG0000405	17	0	0	0	17			Kelch_5:1,Kelch_4:3
OG0000406	6	5	2	4	17			zf-C2H2_4:3,zf-met:3,zf-C2H2:28
OG0000407	1	3	12	1	17			ELO:17
OG0000408	3	5	6	3	17		MER0039464:1,MER0039468:1,MER0039462:2,MER0039461:3,MER0039457:13,MER0044514:15,MER0039476:16,MER0114503:17,MER0044996:17,MER0044620:17,MER0039482:17,MER0039490:17,MER0071798:17,MER0039485:17	Peptidase_C14:17
OG0000409	9	0	8	0	17			Polysacc_synt_2:1,Semialdhyde_dh:2,NAD_binding_4:3,F420_oxidored:5,Shikimate_DH:6,Sacchrp_dh_NADP:10,3Beta_HSD:13,Epimerase:13,NAD_binding_10:13,NmrA:13
OG0000410	5	5	6	1	17			p450:17
OG0000411	5	5	3	4	17			Metallophos:17
OG0000412	1	1	0	15	17			PH:3,PH_9:5
OG0000413	1	4	10	2	17	GH37:7		GDE_C:1,Trehalase:27
OG0000414	1	0	16	0	17			Peptidase_S41:5
