species,superfamily,subfamily,total_TE_len,genomelen,percent
Massospora_cicadina_MCPNR19,DNA,PIF-Harbinger,1285,1488883982,8.630625458632949e-5
Massospora_cicadina_MCPNR19,DNA,PIF-Harbinger?,156,1488883982,1.0477646471180856e-5
Massospora_cicadina_MCPNR19,DNA,PIF-ISL2EU,67435,1488883982,0.00452923134476975
Massospora_cicadina_MCPNR19,DNA,PiggyBac,184441,1488883982,0.01238786918455813
Massospora_cicadina_MCPNR19,DNA,TcMar-Ant1,210,1488883982,1.4104524095820383e-5
Massospora_cicadina_MCPNR19,DNA,TcMar-Ant1?,34,1488883982,2.283589615513776e-6
Massospora_cicadina_MCPNR19,DNA,TcMar-Fot1,636,1488883982,4.271655869019887e-5
Massospora_cicadina_MCPNR19,DNA,TcMar-ISRm11,207786,1488883982,0.013955822113210161
Massospora_cicadina_MCPNR19,DNA,TcMar-Mariner,623410,1488883982,0.04187095888845421
Massospora_cicadina_MCPNR19,DNA,TcMar-Pogo,108977,1488883982,0.007319374868524847
Massospora_cicadina_MCPNR19,DNA,TcMar-Sagan,115,1488883982,7.723906052473066e-6
Massospora_cicadina_MCPNR19,DNA,TcMar-Tc1,693,1488883982,4.6544929516207263e-5
Massospora_cicadina_MCPNR19,DNA,Zisupton,190,1488883982,1.2761236086694633e-5
Massospora_cicadina_MCPNR19,LINE,CRE,122,1488883982,8.194056855667079e-6
Massospora_cicadina_MCPNR19,LINE,L1,12577171,1488883982,0.8447381496512063
Massospora_cicadina_MCPNR19,LINE,L1-Tx1,171607511,1488883982,11.525915590110767
Massospora_cicadina_MCPNR19,LINE,Penelope,423,1488883982,2.8410541393009627e-5
Massospora_cicadina_MCPNR19,LINE,RTE-X,58,1488883982,3.895535226464677e-6
Massospora_cicadina_MCPNR19,LINE,Tad1,2521,1488883982,1.6932145355030086e-4
Massospora_cicadina_MCPNR19,LTR,Copia,3332411,1488883982,0.2238193868889376
Massospora_cicadina_MCPNR19,LTR,DIRS,152,1488883982,1.0208988869355705e-5
Massospora_cicadina_MCPNR19,LTR,ERVK,876775,1488883982,0.058888067210061505
Massospora_cicadina_MCPNR19,LTR,Gypsy,860748191,1488883982,57.81163619234907
Massospora_cicadina_MCPNR19,LTR,LTR,4652361,1488883982,0.31247303727121434
Massospora_cicadina_MCPNR19,LTR,Ngaro,110,1488883982,7.3880840501916285e-6
Massospora_cicadina_MCPNR19,LTR,Unknown,92955644,1488883982,6.243310098288102
Massospora_cicadina_MCPNR19,RC,Helitron,4279127,1488883982,0.2874049994313123
Zoophthora_radicans_ATCC_208865,DNA,Academ-H,184,655199646,2.8083043256100906e-5
Zoophthora_radicans_ATCC_208865,DNA,CMC-EnSpm,224,655199646,3.4188052659601105e-5
Zoophthora_radicans_ATCC_208865,DNA,Crypton-F,72,655199646,1.0989016926300354e-5
Zoophthora_radicans_ATCC_208865,DNA,DNA,83909,655199646,0.01280663085095745
Zoophthora_radicans_ATCC_208865,DNA,Ginger,45,655199646,6.868135578937721e-6
Zoophthora_radicans_ATCC_208865,DNA,Ginger-2,401630,655199646,0.0612988731681946
Zoophthora_radicans_ATCC_208865,DNA,hAT-Ac,390,655199646,5.9523841684126915e-5
Zoophthora_radicans_ATCC_208865,DNA,hAT-Charlie,72730,655199646,0.011100433347914232
Zoophthora_radicans_ATCC_208865,DNA,hAT-hAT19,87040,655199646,0.013284500462016428
Zoophthora_radicans_ATCC_208865,DNA,hAT-hATw,65,655199646,9.92064028068782e-6
Zoophthora_radicans_ATCC_208865,DNA,IS3EU,71,655199646,1.083639169121285e-5
Zoophthora_radicans_ATCC_208865,DNA,Kolobok-H,161,655199646,2.4572662849088292e-5
Zoophthora_radicans_ATCC_208865,DNA,Maverick,690438,655199646,0.10537826206334672
Zoophthora_radicans_ATCC_208865,DNA,Merlin,226155,655199646,0.03451696004121468
Zoophthora_radicans_ATCC_208865,DNA,MULE-MuDR,29445494,655199646,4.494125444017715
Zoophthora_radicans_ATCC_208865,DNA,MULE-MuDR?,45,655199646,6.868135578937721e-6
Zoophthora_radicans_ATCC_208865,DNA,P,78,655199646,1.1904768336825383e-5
Zoophthora_radicans_ATCC_208865,DNA,P-Fungi,63,655199646,9.61538981051281e-6
Zoophthora_radicans_ATCC_208865,DNA,PIF-Harbinger,975,655199646,1.488096042103173e-4
Zoophthora_radicans_ATCC_208865,DNA,PiggyBac,302832,655199646,0.04621980519201929
Zoophthora_radicans_ATCC_208865,DNA,Sola-2,321310,655199646,0.0490400142859662
Zoophthora_radicans_ATCC_208865,DNA,TcMar-Ant1,153,655199646,2.335166096838825e-5
Zoophthora_radicans_ATCC_208865,DNA,TcMar-Fot1,456,655199646,6.959710719990224e-5
Zoophthora_radicans_ATCC_208865,DNA,TcMar-ISRm11,804,655199646,1.2271068901035395e-4
Zoophthora_radicans_ATCC_208865,DNA,TcMar-Pogo,103904,655199646,0.01585837242653211
Zoophthora_radicans_ATCC_208865,DNA,TcMar-Sagan,207,655199646,3.1593423663113517e-5
Zoophthora_radicans_ATCC_208865,DNA,TcMar-Tc1,358,655199646,5.463983416132676e-5
Zoophthora_radicans_ATCC_208865,DNA,TcMar-Tigger,1055362,655199646,0.16107487335241935
Zoophthora_radicans_ATCC_208865,LINE,CR1,194555,655199646,0.02969400261244952
Zoophthora_radicans_ATCC_208865,LINE,CRE,118,655199646,1.8009777740325582e-5
Zoophthora_radicans_ATCC_208865,LINE,Deceiver,40,655199646,6.105009403500196e-6
Zoophthora_radicans_ATCC_208865,LINE,L1,371379,655199646,0.056681807181562495
Zoophthora_radicans_ATCC_208865,LINE,L1-Tx1,811826,655199646,0.12390513410014876
Zoophthora_radicans_ATCC_208865,LINE,Penelope,73,655199646,1.1141642161387859e-5
Zoophthora_radicans_ATCC_208865,LINE,Tad1,2357,655199646,3.597376791012491e-4
Zoophthora_radicans_ATCC_208865,LTR,Copia,6975,655199646,0.0010645610147353467
Zoophthora_radicans_ATCC_208865,LTR,Gypsy,254734831,655199646,38.87896346635083
Zoophthora_radicans_ATCC_208865,LTR,LTR,197,655199646,3.006717131223847e-5
Zoophthora_radicans_ATCC_208865,LTR,Unknown,59104727,655199646,9.0208728531578
Zoophthora_radicans_ATCC_208865,RC,Helitron,1428513,655199646,0.21802713245055694
