Orthogroup	Conidiobolus_thromboides_FSU_785.Conth1.v1.aa	Entomophaga_maimaiga_ARSEF_7190.v1.aa	Entomophthora_muscae_UCB.v3_longest.aa	Zoophthora_radicans_ATCC_208865.aa	Total
OG0000250	0	0	25	0	25
OG0000251	0	0	0	25	25
OG0000252	0	0	0	25	25
OG0000253	1	0	5	18	24
OG0000254	1	7	15	1	24
OG0000255	3	5	5	11	24
OG0000256	4	14	5	1	24
OG0000257	7	5	7	5	24
OG0000258	0	24	0	0	24
OG0000259	0	24	0	0	24
OG0000260	0	24	0	0	24
OG0000261	0	11	12	1	24
OG0000262	0	0	24	0	24
OG0000263	0	0	24	0	24
OG0000264	0	0	24	0	24
OG0000265	0	0	24	0	24
OG0000266	0	0	24	0	24
OG0000267	0	0	24	0	24
OG0000268	0	0	0	24	24
OG0000269	0	0	0	24	24
OG0000270	0	0	0	24	24
OG0000271	0	0	0	24	24
OG0000272	2	6	11	4	23
OG0000273	23	0	0	0	23
OG0000274	23	0	0	0	23
OG0000275	9	4	6	4	23
OG0000276	4	1	12	6	23
OG0000277	14	2	3	4	23
OG0000278	6	2	10	5	23
OG0000279	1	1	2	19	23
OG0000280	0	13	10	0	23
OG0000281	0	0	23	0	23
OG0000282	0	0	23	0	23
OG0000283	0	0	23	0	23
OG0000284	0	0	23	0	23
OG0000285	0	0	0	23	23
OG0000286	0	0	0	23	23
OG0000287	17	1	2	2	22
OG0000288	12	3	2	5	22
OG0000289	5	6	10	1	22
OG0000290	8	2	2	10	22
OG0000291	4	3	13	2	22
OG0000292	4	8	6	4	22
OG0000293	0	22	0	0	22
OG0000294	0	1	21	0	22
OG0000295	0	4	4	14	22
OG0000296	0	1	21	0	22
OG0000297	0	4	9	9	22
OG0000298	0	0	22	0	22
OG0000299	0	0	22	0	22
OG0000300	0	0	0	22	22
OG0000301	0	0	0	22	22
OG0000302	0	0	0	22	22
OG0000303	0	0	0	22	22
OG0000304	13	3	4	1	21
OG0000305	21	0	0	0	21
OG0000306	10	2	8	1	21
OG0000307	3	4	8	6	21
OG0000308	1	1	17	2	21
OG0000309	1	7	13	0	21
OG0000310	3	5	8	5	21
OG0000311	0	21	0	0	21
OG0000312	0	19	2	0	21
OG0000313	0	12	8	1	21
OG0000314	0	16	5	0	21
OG0000315	0	5	11	5	21
OG0000316	0	1	20	0	21
OG0000317	0	0	21	0	21
OG0000318	0	0	21	0	21
OG0000319	0	0	21	0	21
OG0000320	0	0	21	0	21
OG0000321	0	0	21	0	21
OG0000322	0	0	21	0	21
OG0000323	0	0	21	0	21
OG0000324	0	0	21	0	21
OG0000325	0	0	0	21	21
OG0000326	0	0	0	21	21
OG0000327	0	0	0	21	21
OG0000328	20	0	0	0	20
OG0000329	11	3	6	0	20
OG0000330	1	6	10	3	20
OG0000331	0	20	0	0	20
OG0000332	0	18	2	0	20
OG0000333	0	4	10	6	20
OG0000334	0	19	1	0	20
OG0000335	0	1	19	0	20
OG0000336	0	0	20	0	20
OG0000337	0	0	20	0	20
OG0000338	0	0	20	0	20
OG0000339	0	0	20	0	20
OG0000340	0	0	0	20	20
OG0000341	0	0	0	20	20
OG0000342	0	0	0	20	20
OG0000343	0	0	0	20	20
OG0000344	0	0	0	20	20
OG0000345	0	0	0	20	20
OG0000346	0	0	0	20	20
OG0000347	0	0	0	20	20
OG0000348	0	0	0	20	20
OG0000349	1	2	7	9	19
OG0000350	19	0	0	0	19
OG0000351	5	4	10	0	19
OG0000352	1	11	6	1	19
OG0000353	6	0	0	13	19
OG0000354	3	2	12	2	19
OG0000355	1	1	15	2	19
OG0000356	0	19	0	0	19
OG0000357	0	19	0	0	19
OG0000358	0	19	0	0	19
OG0000359	0	19	0	0	19
OG0000360	0	18	1	0	19
OG0000361	0	4	5	10	19
OG0000362	0	7	12	0	19
OG0000363	0	2	17	0	19
OG0000364	0	2	0	17	19
OG0000365	0	0	19	0	19
OG0000366	0	0	19	0	19
OG0000367	0	0	19	0	19
OG0000368	0	0	19	0	19
OG0000369	0	0	19	0	19
OG0000370	0	0	19	0	19
OG0000371	0	0	19	0	19
OG0000372	0	0	19	0	19
OG0000373	0	0	19	0	19
OG0000374	0	0	0	19	19
OG0000375	4	2	8	4	18
OG0000376	6	4	5	3	18
OG0000377	2	0	15	1	18
OG0000378	0	14	4	0	18
OG0000379	0	17	1	0	18
OG0000380	0	18	0	0	18
OG0000381	0	18	0	0	18
OG0000382	0	18	0	0	18
OG0000383	0	3	15	0	18
OG0000384	0	18	0	0	18
OG0000385	0	2	16	0	18
OG0000386	0	1	16	1	18
OG0000387	0	17	0	1	18
OG0000388	0	0	18	0	18
OG0000389	0	0	18	0	18
OG0000390	0	0	18	0	18
OG0000391	0	0	18	0	18
OG0000392	0	0	18	0	18
OG0000393	0	0	18	0	18
OG0000394	0	0	18	0	18
OG0000395	0	0	18	0	18
OG0000396	0	0	18	0	18
OG0000397	0	0	18	0	18
OG0000398	0	0	18	0	18
OG0000399	0	0	0	18	18
OG0000400	0	0	0	18	18
OG0000401	0	0	0	18	18
OG0000402	0	0	0	18	18
OG0000403	1	6	10	0	17
OG0000404	2	5	8	2	17
OG0000405	17	0	0	0	17
OG0000406	6	5	2	4	17
OG0000407	1	3	12	1	17
OG0000408	3	5	6	3	17
OG0000409	9	0	8	0	17
OG0000410	5	5	6	1	17
OG0000411	5	5	3	4	17
OG0000412	1	1	0	15	17
OG0000413	1	4	10	2	17
OG0000414	1	0	16	0	17
OG0000415	0	13	4	0	17
OG0000416	0	17	0	0	17
OG0000417	0	17	0	0	17
OG0000418	0	17	0	0	17
OG0000419	0	14	2	1	17
OG0000420	0	1	15	1	17
OG0000421	0	8	2	7	17
OG0000422	0	1	16	0	17
OG0000423	0	2	2	13	17
OG0000424	0	0	17	0	17
OG0000425	0	0	17	0	17
OG0000426	0	0	17	0	17
OG0000427	0	0	17	0	17
OG0000428	0	0	17	0	17
OG0000429	0	0	17	0	17
OG0000430	0	0	17	0	17
OG0000431	0	0	17	0	17
OG0000432	0	0	17	0	17
OG0000433	0	0	17	0	17
OG0000434	0	0	17	0	17
OG0000435	0	0	0	17	17
OG0000436	0	0	0	17	17
OG0000437	0	0	0	17	17
OG0000438	0	0	0	17	17
OG0000439	2	5	5	4	16
OG0000440	11	1	2	2	16
OG0000441	2	4	7	3	16
OG0000442	1	2	4	9	16
OG0000443	16	0	0	0	16
OG0000444	3	3	6	4	16
OG0000445	5	4	6	1	16
OG0000446	1	2	13	0	16
OG0000447	6	3	3	4	16
OG0000448	4	1	5	6	16
OG0000449	14	2	0	0	16
OG0000450	1	3	8	4	16
OG0000451	1	4	6	5	16
OG0000452	3	3	6	4	16
OG0000453	1	5	3	7	16
OG0000454	2	4	5	5	16
OG0000455	4	3	3	6	16
OG0000456	1	1	13	1	16
OG0000457	0	16	0	0	16
OG0000458	0	6	10	0	16
OG0000459	0	16	0	0	16
OG0000460	0	10	6	0	16
OG0000461	0	1	0	15	16
OG0000462	0	16	0	0	16
OG0000463	0	13	3	0	16
OG0000464	0	16	0	0	16
OG0000465	0	2	14	0	16
OG0000466	0	2	14	0	16
OG0000467	0	3	12	1	16
OG0000468	0	1	15	0	16
OG0000469	0	1	2	13	16
OG0000470	0	0	16	0	16
OG0000471	0	0	16	0	16
OG0000472	0	0	16	0	16
OG0000473	0	0	16	0	16
OG0000474	0	0	16	0	16
OG0000475	0	0	16	0	16
OG0000476	0	0	16	0	16
OG0000477	0	0	16	0	16
OG0000478	0	0	16	0	16
OG0000479	0	0	16	0	16
OG0000480	0	0	16	0	16
OG0000481	0	0	2	14	16
OG0000482	0	0	1	15	16
OG0000483	0	0	0	16	16
OG0000484	0	0	0	16	16
OG0000485	0	0	0	16	16
OG0000486	6	1	6	2	15
OG0000487	1	1	12	1	15
OG0000488	15	0	0	0	15
OG0000489	1	3	9	2	15
OG0000490	1	1	9	4	15
OG0000491	15	0	0	0	15
OG0000492	2	2	6	5	15
OG0000493	2	1	2	10	15
OG0000494	1	4	7	3	15
OG0000495	1	3	7	4	15
OG0000496	9	0	1	5	15
OG0000497	1	1	12	1	15
OG0000498	2	2	4	7	15
OG0000499	2	5	6	2	15
OG0000500	3	3	5	4	15
OG0000501	0	15	0	0	15
OG0000502	0	15	0	0	15
OG0000503	0	15	0	0	15
OG0000504	0	12	3	0	15
OG0000505	0	15	0	0	15
OG0000506	0	14	0	1	15
OG0000507	0	4	11	0	15
OG0000508	0	15	0	0	15
OG0000509	0	15	0	0	15
OG0000510	0	4	11	0	15
OG0000511	0	7	6	2	15
OG0000512	0	5	9	1	15
OG0000513	0	1	14	0	15
OG0000514	0	3	0	12	15
OG0000515	0	0	15	0	15
OG0000516	0	0	15	0	15
OG0000517	0	0	15	0	15
OG0000518	0	0	15	0	15
OG0000519	0	0	15	0	15
OG0000520	0	0	15	0	15
OG0000521	0	0	15	0	15
OG0000522	0	0	15	0	15
OG0000523	0	0	15	0	15
OG0000524	0	0	14	1	15
OG0000525	0	0	15	0	15
OG0000526	0	0	0	15	15
OG0000527	0	0	0	15	15
OG0000528	0	0	0	15	15
OG0000529	3	4	6	1	14
OG0000530	3	2	3	6	14
OG0000531	14	0	0	0	14
OG0000532	11	1	2	0	14
OG0000533	11	3	0	0	14
OG0000534	4	4	5	1	14
OG0000535	14	0	0	0	14
OG0000536	2	3	4	5	14
OG0000537	1	2	7	4	14
OG0000538	2	5	4	3	14
OG0000539	1	12	0	1	14
OG0000540	1	6	6	1	14
OG0000541	7	1	3	3	14
OG0000542	5	1	6	2	14
OG0000543	1	5	6	2	14
OG0000544	1	5	4	4	14
OG0000545	14	0	0	0	14
OG0000546	1	4	1	8	14
OG0000547	5	2	2	5	14
OG0000548	4	5	3	2	14
OG0000549	1	10	2	1	14
OG0000550	1	7	5	1	14
OG0000551	1	2	6	5	14
OG0000552	0	14	0	0	14
OG0000553	0	14	0	0	14
OG0000554	0	14	0	0	14
OG0000555	0	13	1	0	14
OG0000556	0	3	9	2	14
OG0000557	0	14	0	0	14
OG0000558	0	12	2	0	14
OG0000559	0	7	7	0	14
OG0000560	0	14	0	0	14
OG0000561	0	1	13	0	14
OG0000562	0	1	13	0	14
OG0000563	0	6	8	0	14
OG0000564	0	1	13	0	14
OG0000565	0	4	10	0	14
OG0000566	0	2	10	2	14
OG0000567	0	2	8	4	14
OG0000568	0	1	13	0	14
OG0000569	0	0	14	0	14
OG0000570	0	0	14	0	14
OG0000571	0	0	14	0	14
OG0000572	0	0	14	0	14
OG0000573	0	0	14	0	14
OG0000574	0	0	14	0	14
OG0000575	0	0	14	0	14
OG0000576	0	0	14	0	14
OG0000577	0	0	14	0	14
OG0000578	0	0	14	0	14
OG0000579	0	0	14	0	14
OG0000580	0	0	14	0	14
OG0000581	0	0	14	0	14
OG0000582	0	0	14	0	14
OG0000583	0	0	14	0	14
OG0000584	0	0	0	14	14
OG0000585	0	0	0	14	14
OG0000586	0	0	0	14	14
OG0000587	0	0	0	14	14
OG0000588	0	0	0	14	14
OG0000589	0	0	0	14	14
OG0000590	0	0	0	14	14
OG0000591	0	0	0	14	14
OG0000592	0	0	0	14	14
OG0000593	13	0	0	0	13
OG0000594	3	2	5	3	13
OG0000595	9	1	2	1	13
OG0000596	8	1	1	3	13
OG0000597	1	0	2	10	13
OG0000598	5	2	5	1	13
OG0000599	1	2	4	6	13
OG0000600	13	0	0	0	13
OG0000601	1	5	5	2	13
OG0000602	4	6	2	1	13
OG0000603	4	4	4	1	13
OG0000604	1	1	6	5	13
OG0000605	3	1	8	1	13
OG0000606	1	4	7	1	13
OG0000607	8	0	2	3	13
OG0000608	1	2	7	3	13
OG0000609	1	2	2	8	13
OG0000610	1	4	4	4	13
OG0000611	1	1	2	9	13
OG0000612	2	1	7	3	13
OG0000613	2	2	7	2	13
OG0000614	1	2	8	2	13
OG0000615	0	13	0	0	13
OG0000616	0	12	0	1	13
OG0000617	0	13	0	0	13
OG0000618	0	4	9	0	13
OG0000619	0	11	1	1	13
OG0000620	0	1	12	0	13
OG0000621	0	12	0	1	13
OG0000622	0	5	8	0	13
OG0000623	0	13	0	0	13
OG0000624	0	13	0	0	13
OG0000625	0	13	0	0	13
OG0000626	0	3	2	8	13
OG0000627	0	5	8	0	13
OG0000628	0	12	1	0	13
OG0000629	0	1	12	0	13
OG0000630	0	1	12	0	13
OG0000631	0	11	0	2	13
OG0000632	0	8	5	0	13
OG0000633	0	3	10	0	13
OG0000634	0	13	0	0	13
OG0000635	0	0	13	0	13
OG0000636	0	0	13	0	13
OG0000637	0	0	13	0	13
OG0000638	0	0	13	0	13
OG0000639	0	0	13	0	13
OG0000640	0	0	13	0	13
OG0000641	0	0	13	0	13
OG0000642	0	0	13	0	13
OG0000643	0	0	13	0	13
OG0000644	0	0	13	0	13
OG0000645	0	0	12	1	13
OG0000646	0	0	13	0	13
OG0000647	0	0	13	0	13
OG0000648	0	0	0	13	13
OG0000649	0	0	0	13	13
OG0000650	0	0	0	13	13
OG0000651	0	0	0	13	13
OG0000652	0	0	0	13	13
OG0000653	0	0	0	13	13
OG0000654	0	0	0	13	13
OG0000655	0	0	0	13	13
OG0000656	0	0	0	13	13
OG0000657	0	0	0	13	13
OG0000658	0	0	0	13	13
OG0000659	0	0	0	13	13
OG0000660	0	0	0	13	13
OG0000661	3	4	4	1	12
OG0000662	1	1	9	1	12
OG0000663	2	3	3	4	12
OG0000664	12	0	0	0	12
OG0000665	1	2	7	2	12
OG0000666	3	4	4	1	12
OG0000667	2	4	5	1	12
OG0000668	1	4	5	2	12
OG0000669	2	3	4	3	12
OG0000670	8	1	2	1	12
OG0000671	1	3	5	3	12
OG0000672	1	6	2	3	12
OG0000673	5	1	2	4	12
OG0000674	4	3	2	3	12
OG0000675	2	2	3	5	12
OG0000676	1	1	9	1	12
OG0000677	12	0	0	0	12
OG0000678	2	2	4	4	12
OG0000679	5	3	2	2	12
OG0000680	1	2	7	2	12
OG0000681	1	1	9	1	12
OG0000682	3	2	5	2	12
OG0000683	1	2	8	1	12
OG0000684	0	12	0	0	12
OG0000685	0	12	0	0	12
OG0000686	0	12	0	0	12
OG0000687	0	12	0	0	12
OG0000688	0	12	0	0	12
OG0000689	0	3	9	0	12
OG0000690	0	1	4	7	12
OG0000691	0	9	2	1	12
OG0000692	0	12	0	0	12
OG0000693	0	12	0	0	12
OG0000694	0	6	5	1	12
OG0000695	0	6	4	2	12
OG0000696	0	5	6	1	12
OG0000697	0	4	8	0	12
OG0000698	0	2	8	2	12
OG0000699	0	1	11	0	12
OG0000700	0	2	9	1	12
OG0000701	0	2	10	0	12
OG0000702	0	2	10	0	12
OG0000703	0	12	0	0	12
OG0000704	0	1	11	0	12
OG0000705	0	1	11	0	12
OG0000706	0	1	11	0	12
OG0000707	0	0	12	0	12
OG0000708	0	0	12	0	12
OG0000709	0	0	12	0	12
OG0000710	0	0	12	0	12
OG0000711	0	0	12	0	12
OG0000712	0	0	2	10	12
OG0000713	0	0	12	0	12
OG0000714	0	0	12	0	12
OG0000715	0	0	12	0	12
OG0000716	0	0	12	0	12
OG0000717	0	0	12	0	12
OG0000718	0	0	12	0	12
OG0000719	0	0	12	0	12
OG0000720	0	0	12	0	12
OG0000721	0	0	12	0	12
OG0000722	0	0	12	0	12
OG0000723	0	0	12	0	12
OG0000724	0	0	12	0	12
OG0000725	0	0	0	12	12
OG0000726	0	0	0	12	12
OG0000727	0	0	0	12	12
OG0000728	0	0	0	12	12
OG0000729	0	0	0	12	12
OG0000730	0	0	0	12	12
OG0000731	0	0	0	12	12
OG0000732	0	0	0	12	12
OG0000733	0	0	0	12	12
OG0000734	0	0	0	12	12
OG0000735	0	0	0	12	12
OG0000736	0	0	0	12	12
OG0000737	0	0	0	12	12
OG0000738	4	2	3	2	11
OG0000739	1	4	5	1	11
OG0000740	6	2	2	1	11
OG0000741	11	0	0	0	11
OG0000742	1	2	5	3	11
OG0000743	3	2	4	2	11
OG0000744	11	0	0	0	11
OG0000745	11	0	0	0	11
OG0000746	2	2	4	3	11
OG0000747	11	0	0	0	11
OG0000748	3	2	4	2	11
OG0000749	1	3	6	1	11
OG0000750	3	2	4	2	11
OG0000751	1	4	4	2	11
OG0000752	1	3	4	3	11
OG0000753	11	0	0	0	11
OG0000754	1	7	2	1	11
OG0000755	2	2	4	3	11
OG0000756	6	1	3	1	11
OG0000757	2	2	4	3	11
OG0000758	7	2	2	0	11
OG0000759	2	2	3	4	11
OG0000760	2	2	6	1	11
OG0000761	1	2	5	3	11
OG0000762	1	1	3	6	11
OG0000763	2	3	4	2	11
OG0000764	3	1	2	5	11
OG0000765	3	1	2	5	11
OG0000766	1	1	6	3	11
OG0000767	1	1	8	1	11
OG0000768	1	2	4	4	11
OG0000769	2	2	5	2	11
OG0000770	5	2	1	3	11
OG0000771	10	0	1	0	11
OG0000772	1	1	3	6	11
OG0000773	1	4	3	3	11
OG0000774	0	11	0	0	11
OG0000775	0	11	0	0	11
OG0000776	0	11	0	0	11
OG0000777	0	10	0	1	11
OG0000778	0	9	2	0	11
OG0000779	0	9	2	0	11
OG0000780	0	11	0	0	11
OG0000781	0	7	4	0	11
OG0000782	0	11	0	0	11
OG0000783	0	6	5	0	11
OG0000784	0	11	0	0	11
OG0000785	0	11	0	0	11
OG0000786	0	10	1	0	11
OG0000787	0	2	9	0	11
OG0000788	0	7	2	2	11
OG0000789	0	2	2	7	11
OG0000790	0	11	0	0	11
OG0000791	0	5	6	0	11
OG0000792	0	11	0	0	11
OG0000793	0	7	4	0	11
OG0000794	0	3	7	1	11
OG0000795	0	7	4	0	11
OG0000796	0	6	5	0	11
OG0000797	0	2	8	1	11
OG0000798	0	5	5	1	11
OG0000799	0	1	8	2	11
OG0000800	0	1	6	4	11
OG0000801	0	1	10	0	11
OG0000802	0	1	10	0	11
OG0000803	0	0	11	0	11
OG0000804	0	0	11	0	11
OG0000805	0	0	11	0	11
OG0000806	0	0	11	0	11
OG0000807	0	0	11	0	11
OG0000808	0	0	11	0	11
OG0000809	0	0	11	0	11
OG0000810	0	0	11	0	11
OG0000811	0	0	11	0	11
OG0000812	0	0	11	0	11
OG0000813	0	0	11	0	11
OG0000814	0	0	11	0	11
OG0000815	0	0	11	0	11
OG0000816	0	0	11	0	11
OG0000817	0	0	11	0	11
OG0000818	0	0	0	11	11
OG0000819	0	0	0	11	11
OG0000820	0	0	0	11	11
OG0000821	0	0	0	11	11
OG0000822	0	0	0	11	11
OG0000823	0	0	0	11	11
OG0000824	0	0	0	11	11
OG0000825	0	0	0	11	11
OG0000826	0	0	0	11	11
OG0000827	0	0	0	11	11
OG0000828	0	0	0	11	11
OG0000829	0	0	0	11	11
OG0000830	0	0	0	11	11
OG0000831	0	0	0	11	11
OG0000832	2	2	4	2	10
OG0000833	10	0	0	0	10
OG0000834	2	2	4	2	10
OG0000835	1	3	4	2	10
OG0000836	7	1	2	0	10
OG0000837	3	1	2	4	10
OG0000838	1	3	4	2	10
OG0000839	10	0	0	0	10
OG0000840	10	0	0	0	10
OG0000841	1	2	5	2	10
OG0000842	1	1	7	1	10
OG0000843	2	2	3	3	10
OG0000844	1	1	2	6	10
OG0000845	6	1	3	0	10
OG0000846	1	3	5	1	10
OG0000847	2	2	3	3	10
OG0000848	1	2	6	1	10
OG0000849	1	2	5	2	10
OG0000850	1	1	7	1	10
OG0000851	4	1	3	2	10
OG0000852	2	2	4	2	10
OG0000853	1	2	6	1	10
OG0000854	2	1	3	4	10
OG0000855	2	2	5	1	10
OG0000856	1	4	5	0	10
OG0000857	10	0	0	0	10
OG0000858	10	0	0	0	10
OG0000859	6	1	1	2	10
